feature,score
browse_countAvgMon,3083
bill_limit-account_mean,2993
bill_prior_repayCaccount_topMean,2853
browse_meanAvgMon,2839
bill_accountBalance_mean,2216
bill_minimunRepay_mean,2134
browse_count,1965
bill_priorRepay_mean,1867
bill_account_monthAvg,1864
bill_minimunRepay_pctSum,1774
bill_priorAccount_mean,1774
bill_limit-account_topMean,1709
browse_tag_5,1643
bill_countbank_id,1618
bill_limitSum,1616
bill_prior_repayCaccount_mean,1609
bill_priorRepay_max,1534
browse_tag_1,1471
browse_tag_10,1466
bill_priorAccount_max,1458
bill_priorRepay_pctSum,1430
browse_tag_7,1388
bill_account_pctSum,1360
browse_tag_4,1332
browse_tag_6,1329
browse_tag_8,1310
bill_minimunRepay_std,1260
bill_accountBalance_std,1219
bill_priorAccount_pctSum,1185
bill_accountBalance_pctSum,1164
bill_priorRepay_std,1116
bill_account_std,1115
bill_priorAccount_std,1115
bill_count_monthAvg,1051
bill_limitMean,938
bill_limitStd,910
bill_account_pctSumAbs,900
bill_priorRepayCAccount_std,881
browse_tag_3,836
sex,662
household,656
occupation,606
marriage,598
education,588
browse_tag_9,139
bill_bankid_count,63
browse_tag_11,19
browse_tag_2,6
