feature,score
browse_countAvgMon,2620
bill_limit-account_mean,2516
bill_prior_repayCaccount_topMean,2297
browse_meanAvgMon,2179
bill_minimunRepay_mean,2076
bill_accountBalance_mean,1912
bill_limit-account_topMean,1742
browse_count,1739
bill_priorAccount_mean,1530
bill_priorRepay_mean,1503
bill_prior_repayCaccount_mean,1500
bill_account_monthAvg,1481
bill_minimunRepay_pctSum,1464
bill_priorRepay_max,1421
bill_limitSum,1407
bill_countbank_id,1329
browse_tag_1,1304
browse_tag_10,1296
browse_tag_7,1275
bill_priorAccount_max,1259
browse_tag_5,1252
bill_priorRepay_pctSum,1193
browse_tag_6,1184
browse_tag_8,1131
browse_tag_4,1129
bill_accountBalance_pctSum,1101
bill_account_pctSum,1095
bill_accountBalance_std,1068
bill_priorAccount_pctSum,1055
bill_minimunRepay_std,1054
bill_priorAccount_std,963
bill_account_std,956
bill_limitMean,920
bill_priorRepay_std,911
bill_count_monthAvg,881
bill_limitStd,796
bill_priorRepayCAccount_std,771
bill_account_pctSumAbs,762
browse_tag_3,661
sex,583
household,563
education,490
occupation,488
marriage,451
browse_tag_9,117
bill_bankid_count,53
browse_tag_11,15
browse_tag_2,9
