feature,score
browse_countAvgMon,986
bill_prior_repayCaccount_topMean,866
bill_limit-account_mean,847
browse_meanAvgMon,742
bill_limit-account_topMean,720
bill_minimunRepay_mean,673
bill_accountBalance_mean,649
browse_count,579
bill_account_monthAvg,578
bill_priorAccount_mean,575
bill_priorRepay_mean,571
bill_minimunRepay_pctSum,555
bill_countbank_id,530
bill_priorRepay_max,515
browse_tag_6,509
browse_tag_5,473
bill_accountBalance_std,473
browse_tag_10,467
browse_tag_4,465
bill_priorRepay_pctSum,459
bill_limitSum,457
bill_prior_repayCaccount_mean,454
browse_tag_7,453
bill_priorAccount_max,441
browse_tag_1,439
browse_tag_8,400
bill_account_pctSum,400
bill_account_std,388
bill_priorRepay_std,388
bill_minimunRepay_std,382
bill_account_pctSumAbs,365
bill_accountBalance_pctSum,361
bill_priorAccount_pctSum,353
bill_limitMean,328
bill_priorAccount_std,324
bill_count_monthAvg,321
bill_limitStd,316
bill_priorRepayCAccount_std,314
browse_tag_3,224
household,213
sex,205
education,173
occupation,148
marriage,133
browse_tag_9,40
bill_bankid_count,17
browse_tag_2,1
browse_tag_11,1
