feature,score
browse_countAvgMon,962
bill_prior_repayCaccount_topMean,878
bill_limit-account_mean,730
bill_limit-account_topMean,704
browse_meanAvgMon,699
bill_accountBalance_mean,687
bill_minimunRepay_mean,666
browse_count,581
bill_priorRepay_mean,539
bill_minimunRepay_pctSum,528
bill_priorAccount_mean,518
bill_countbank_id,510
browse_tag_5,505
bill_priorRepay_max,499
browse_tag_6,478
bill_account_monthAvg,473
bill_accountBalance_std,467
browse_tag_10,456
bill_priorRepay_pctSum,441
bill_prior_repayCaccount_mean,437
browse_tag_7,435
bill_limitSum,430
bill_priorAccount_max,419
browse_tag_1,409
browse_tag_4,406
bill_account_std,406
bill_priorRepay_std,406
bill_priorAccount_pctSum,388
bill_priorAccount_std,387
bill_account_pctSum,380
bill_minimunRepay_std,380
browse_tag_8,370
bill_accountBalance_pctSum,366
bill_account_pctSumAbs,358
bill_count_monthAvg,323
bill_limitStd,318
bill_limitMean,301
bill_priorRepayCAccount_std,295
browse_tag_3,221
household,209
education,180
sex,176
marriage,146
occupation,145
browse_tag_9,29
bill_bankid_count,14
