feature,score
bill_limit-account_mean,3236
browse_countAvgMon,3010
bill_prior_repayCaccount_topMean,2882
browse_meanAvgMon,2792
bill_minimunRepay_mean,2496
bill_accountBalance_mean,2344
browse_count,2282
bill_limit-account_topMean,2199
bill_minimunRepay_pctSum,2011
bill_account_monthAvg,1980
bill_priorRepay_mean,1898
bill_priorAccount_mean,1833
bill_limitSum,1819
bill_prior_repayCaccount_mean,1808
bill_countbank_id,1804
bill_priorRepay_max,1757
browse_tag_1,1729
browse_tag_5,1690
bill_priorAccount_max,1631
browse_tag_10,1629
browse_tag_7,1627
browse_tag_6,1542
bill_priorRepay_pctSum,1497
bill_minimunRepay_std,1424
bill_account_pctSum,1410
bill_account_std,1382
browse_tag_4,1372
browse_tag_8,1366
bill_accountBalance_pctSum,1358
bill_priorAccount_pctSum,1289
bill_limitMean,1281
bill_accountBalance_std,1253
bill_priorAccount_std,1226
bill_priorRepay_std,1123
bill_limitStd,1113
bill_count_monthAvg,1091
browse_tag_3,987
bill_priorRepayCAccount_std,913
bill_account_pctSumAbs,908
sex,735
household,649
occupation,640
marriage,640
education,593
browse_tag_9,166
bill_bankid_count,148
browse_tag_11,21
browse_tag_2,8
