feature,score
bill_prior_repayCaccount_topMean,1621
browse_countAvgMon,1601
bill_limit-account_mean,1548
browse_meanAvgMon,1409
bill_minimunRepay_mean,1228
bill_accountBalance_mean,1142
bill_limit-account_topMean,1110
browse_count,995
bill_priorRepay_mean,985
bill_priorAccount_mean,977
bill_minimunRepay_pctSum,958
bill_account_monthAvg,919
bill_priorRepay_max,899
bill_prior_repayCaccount_mean,856
browse_tag_5,855
browse_tag_7,831
bill_countbank_id,824
browse_tag_10,822
bill_limitSum,795
browse_tag_1,765
bill_priorRepay_pctSum,755
bill_priorAccount_max,720
browse_tag_6,711
bill_minimunRepay_std,694
bill_account_pctSum,679
browse_tag_4,678
bill_accountBalance_pctSum,669
browse_tag_8,667
bill_accountBalance_std,638
bill_priorAccount_pctSum,629
bill_priorRepay_std,623
bill_account_std,607
bill_priorAccount_std,602
bill_count_monthAvg,558
bill_limitStd,557
bill_limitMean,520
bill_priorRepayCAccount_std,500
bill_account_pctSumAbs,451
browse_tag_3,407
household,353
sex,331
education,300
marriage,290
occupation,268
browse_tag_9,49
bill_bankid_count,19
browse_tag_11,3
