feature,score
browse_countAvgMon,1012
bill_prior_repayCaccount_topMean,877
bill_limit-account_mean,817
browse_meanAvgMon,757
bill_minimunRepay_mean,706
bill_accountBalance_mean,670
bill_limit-account_topMean,662
bill_countbank_id,610
bill_minimunRepay_pctSum,584
bill_priorAccount_mean,572
bill_account_monthAvg,566
bill_priorRepay_mean,553
browse_count,548
browse_tag_5,521
bill_priorRepay_max,512
bill_prior_repayCaccount_mean,509
browse_tag_6,505
browse_tag_7,491
browse_tag_10,479
browse_tag_1,469
bill_priorAccount_max,467
bill_priorRepay_pctSum,466
browse_tag_4,452
bill_limitSum,443
bill_accountBalance_std,421
bill_account_pctSum,411
bill_accountBalance_pctSum,410
bill_minimunRepay_std,401
bill_account_std,400
browse_tag_8,394
bill_priorAccount_std,376
bill_priorAccount_pctSum,375
bill_priorRepay_std,345
bill_limitStd,340
bill_limitMean,340
bill_count_monthAvg,339
bill_account_pctSumAbs,330
bill_priorRepayCAccount_std,328
browse_tag_3,256
household,240
sex,186
education,180
occupation,167
marriage,152
browse_tag_9,28
bill_bankid_count,15
browse_tag_11,1
