feature,score
browse_countAvgMon,978
bill_prior_repayCaccount_topMean,925
bill_limit-account_mean,857
browse_meanAvgMon,755
bill_accountBalance_mean,670
bill_limit-account_topMean,667
bill_minimunRepay_mean,660
bill_priorRepay_mean,584
browse_count,578
bill_minimunRepay_pctSum,561
bill_countbank_id,552
bill_account_monthAvg,536
bill_priorAccount_mean,534
browse_tag_5,515
bill_priorRepay_max,487
browse_tag_10,484
bill_prior_repayCaccount_mean,478
browse_tag_7,477
browse_tag_6,469
browse_tag_1,463
browse_tag_4,443
bill_limitSum,440
bill_accountBalance_std,429
bill_priorAccount_max,422
bill_priorRepay_pctSum,416
bill_account_std,415
browse_tag_8,410
bill_account_pctSum,401
bill_priorRepay_std,383
bill_priorAccount_std,380
bill_accountBalance_pctSum,376
bill_minimunRepay_std,374
bill_count_monthAvg,363
bill_priorAccount_pctSum,359
bill_account_pctSumAbs,315
bill_limitMean,303
bill_limitStd,299
bill_priorRepayCAccount_std,287
browse_tag_3,233
household,215
sex,196
education,185
marriage,178
occupation,163
browse_tag_9,32
bill_bankid_count,7
browse_tag_11,2
