feature,score
bill_prior_repayCaccount_topMean,944
browse_countAvgMon,922
bill_limit-account_mean,792
bill_limit-account_topMean,705
browse_meanAvgMon,680
bill_minimunRepay_mean,658
browse_count,642
bill_accountBalance_mean,607
bill_priorRepay_mean,575
bill_priorAccount_mean,568
bill_minimunRepay_pctSum,549
bill_prior_repayCaccount_mean,529
bill_account_monthAvg,520
bill_countbank_id,509
bill_priorRepay_max,501
browse_tag_10,498
browse_tag_7,472
browse_tag_1,465
bill_limitSum,465
browse_tag_5,453
bill_priorRepay_pctSum,448
bill_minimunRepay_std,447
bill_priorAccount_max,445
bill_priorRepay_std,438
browse_tag_6,427
bill_accountBalance_std,417
browse_tag_4,416
bill_accountBalance_pctSum,399
bill_priorAccount_std,398
browse_tag_8,391
bill_account_pctSum,385
bill_account_std,375
bill_priorAccount_pctSum,335
bill_limitStd,329
bill_account_pctSumAbs,329
bill_limitMean,327
bill_count_monthAvg,305
bill_priorRepayCAccount_std,255
browse_tag_3,233
household,221
sex,188
education,159
marriage,155
occupation,139
browse_tag_9,28
bill_bankid_count,21
browse_tag_11,4
browse_tag_2,1
