feature,score
browse_countAvgMon,2330
bill_limit-account_mean,2273
bill_prior_repayCaccount_topMean,2139
browse_meanAvgMon,1996
bill_accountBalance_mean,1737
bill_limit-account_topMean,1684
bill_minimunRepay_mean,1668
browse_count,1623
bill_minimunRepay_pctSum,1409
bill_priorRepay_mean,1384
bill_priorRepay_max,1339
bill_account_monthAvg,1318
bill_prior_repayCaccount_mean,1313
bill_priorAccount_mean,1297
browse_tag_5,1247
bill_limitSum,1246
bill_countbank_id,1197
browse_tag_7,1157
browse_tag_1,1155
browse_tag_10,1114
bill_priorRepay_pctSum,1069
browse_tag_6,1056
bill_priorAccount_max,1051
browse_tag_4,1042
bill_account_pctSum,1011
bill_accountBalance_std,985
bill_minimunRepay_std,978
bill_accountBalance_pctSum,945
browse_tag_8,936
bill_account_std,893
bill_priorRepay_std,880
bill_limitStd,879
bill_priorAccount_std,868
bill_limitMean,864
bill_priorAccount_pctSum,858
bill_count_monthAvg,829
bill_account_pctSumAbs,715
bill_priorRepayCAccount_std,685
browse_tag_3,605
household,500
sex,479
marriage,438
education,427
occupation,397
browse_tag_9,95
bill_bankid_count,55
browse_tag_11,9
browse_tag_2,3
