feature,score
browse_countAvgMon,996
bill_prior_repayCaccount_topMean,898
bill_limit-account_mean,864
browse_meanAvgMon,762
bill_limit-account_topMean,687
bill_minimunRepay_mean,675
bill_accountBalance_mean,630
browse_count,603
bill_priorAccount_mean,564
bill_priorRepay_mean,563
bill_countbank_id,551
bill_account_monthAvg,536
bill_minimunRepay_pctSum,532
bill_prior_repayCaccount_mean,525
bill_priorRepay_max,509
browse_tag_5,490
bill_limitSum,489
browse_tag_7,471
bill_priorRepay_pctSum,468
browse_tag_10,443
browse_tag_6,438
bill_accountBalance_std,433
browse_tag_1,413
bill_priorAccount_max,413
bill_minimunRepay_std,411
browse_tag_8,397
bill_accountBalance_pctSum,396
browse_tag_4,378
bill_priorRepay_std,367
bill_priorAccount_std,364
bill_account_pctSum,354
bill_account_std,346
bill_priorAccount_pctSum,334
bill_limitStd,324
bill_account_pctSumAbs,315
bill_count_monthAvg,303
bill_limitMean,292
bill_priorRepayCAccount_std,281
browse_tag_3,235
household,216
sex,202
education,167
marriage,164
occupation,150
browse_tag_9,28
bill_bankid_count,8
