feature,score
browse_countAvgMon,1005
bill_prior_repayCaccount_topMean,951
bill_limit-account_mean,893
browse_meanAvgMon,782
bill_minimunRepay_mean,711
bill_accountBalance_mean,664
bill_limit-account_topMean,658
bill_priorRepay_mean,627
browse_count,590
bill_countbank_id,573
bill_minimunRepay_pctSum,564
bill_priorAccount_mean,544
bill_account_monthAvg,540
browse_tag_10,540
bill_priorRepay_max,535
bill_limitSum,512
bill_prior_repayCaccount_mean,504
browse_tag_5,502
browse_tag_7,500
bill_priorRepay_pctSum,472
browse_tag_6,447
browse_tag_4,439
browse_tag_8,438
bill_priorAccount_max,433
bill_account_pctSum,432
browse_tag_1,430
bill_minimunRepay_std,425
bill_accountBalance_std,397
bill_account_std,396
bill_priorAccount_std,379
bill_priorRepay_std,377
bill_priorAccount_pctSum,366
bill_accountBalance_pctSum,362
bill_priorRepayCAccount_std,322
bill_limitStd,321
bill_account_pctSumAbs,317
bill_limitMean,309
bill_count_monthAvg,282
browse_tag_3,250
household,210
sex,193
marriage,183
education,174
occupation,174
browse_tag_9,38
bill_bankid_count,14
browse_tag_11,2
browse_tag_2,1
