feature,score
browse_countAvgMon,1801
bill_prior_repayCaccount_topMean,1678
bill_limit-account_mean,1612
browse_meanAvgMon,1438
bill_minimunRepay_mean,1346
bill_accountBalance_mean,1247
browse_count,1224
bill_limit-account_topMean,1224
bill_priorRepay_mean,1208
bill_account_monthAvg,1169
bill_minimunRepay_pctSum,1088
bill_priorAccount_mean,1061
bill_prior_repayCaccount_mean,1043
bill_priorRepay_max,1023
browse_tag_1,1009
bill_limitSum,977
bill_countbank_id,939
browse_tag_5,927
browse_tag_7,916
browse_tag_10,912
bill_priorAccount_max,883
bill_accountBalance_std,827
browse_tag_6,823
browse_tag_4,822
bill_priorRepay_pctSum,818
bill_account_pctSum,807
bill_account_std,788
bill_accountBalance_pctSum,787
browse_tag_8,770
bill_priorRepay_std,764
bill_minimunRepay_std,747
bill_priorAccount_std,732
bill_priorAccount_pctSum,719
bill_limitMean,671
bill_count_monthAvg,635
bill_account_pctSumAbs,593
bill_limitStd,592
bill_priorRepayCAccount_std,535
browse_tag_3,483
sex,403
household,380
education,331
marriage,330
occupation,318
browse_tag_9,76
bill_bankid_count,52
browse_tag_11,5
browse_tag_2,2
