feature,score
browse_countAvgMon,1014
bill_prior_repayCaccount_topMean,920
bill_limit-account_mean,812
bill_limit-account_topMean,773
bill_accountBalance_mean,732
browse_meanAvgMon,730
bill_minimunRepay_mean,699
browse_count,604
bill_priorRepay_mean,577
bill_minimunRepay_pctSum,575
bill_countbank_id,574
bill_account_monthAvg,556
bill_priorAccount_mean,547
bill_priorRepay_max,529
bill_prior_repayCaccount_mean,520
browse_tag_10,518
browse_tag_6,516
browse_tag_7,506
bill_limitSum,481
bill_priorRepay_std,479
browse_tag_4,478
bill_priorRepay_pctSum,467
bill_accountBalance_std,466
browse_tag_5,460
bill_account_pctSum,445
browse_tag_1,442
bill_priorAccount_max,426
bill_account_std,412
bill_priorAccount_std,408
bill_minimunRepay_std,404
bill_accountBalance_pctSum,395
browse_tag_8,384
bill_limitStd,343
bill_priorAccount_pctSum,338
bill_count_monthAvg,330
bill_limitMean,316
bill_account_pctSumAbs,302
bill_priorRepayCAccount_std,289
browse_tag_3,222
household,191
sex,181
education,164
occupation,160
marriage,156
browse_tag_9,33
bill_bankid_count,24
browse_tag_11,1
