feature,score
browse_countAvgMon,1691
bill_prior_repayCaccount_topMean,1456
bill_limit-account_mean,1430
browse_meanAvgMon,1264
bill_accountBalance_mean,1195
bill_limit-account_topMean,1169
bill_minimunRepay_mean,1121
browse_count,1033
bill_minimunRepay_pctSum,982
bill_account_monthAvg,904
bill_priorAccount_mean,900
bill_priorRepay_mean,899
browse_tag_5,861
bill_priorRepay_max,831
bill_countbank_id,830
bill_prior_repayCaccount_mean,809
bill_limitSum,793
browse_tag_10,787
bill_priorAccount_max,784
browse_tag_6,780
browse_tag_7,762
browse_tag_1,759
bill_priorRepay_pctSum,724
browse_tag_4,684
bill_minimunRepay_std,683
bill_accountBalance_std,682
bill_account_pctSum,664
browse_tag_8,651
bill_priorAccount_pctSum,616
bill_account_std,609
bill_accountBalance_pctSum,594
bill_priorAccount_std,588
bill_priorRepay_std,587
bill_limitStd,556
bill_limitMean,549
bill_count_monthAvg,529
bill_account_pctSumAbs,490
bill_priorRepayCAccount_std,466
browse_tag_3,369
household,330
sex,325
occupation,289
marriage,270
education,249
browse_tag_9,46
bill_bankid_count,13
browse_tag_11,5
browse_tag_2,1
