feature,score
browse_countAvgMon,2169
bill_prior_repayCaccount_topMean,2108
bill_limit-account_mean,2103
browse_meanAvgMon,1919
bill_minimunRepay_mean,1748
bill_limit-account_topMean,1684
bill_accountBalance_mean,1648
browse_count,1488
bill_prior_repayCaccount_mean,1387
bill_account_monthAvg,1372
bill_priorAccount_mean,1351
bill_priorRepay_mean,1282
bill_minimunRepay_pctSum,1202
bill_countbank_id,1171
browse_tag_7,1121
bill_priorRepay_max,1120
bill_priorAccount_max,1117
browse_tag_1,1116
browse_tag_5,1093
browse_tag_10,1081
bill_limitSum,1066
browse_tag_6,1044
bill_priorRepay_pctSum,1042
bill_account_pctSum,1004
bill_accountBalance_pctSum,974
browse_tag_8,965
browse_tag_4,947
bill_minimunRepay_std,931
bill_priorAccount_pctSum,922
bill_priorRepay_std,897
bill_accountBalance_std,892
bill_limitStd,861
bill_limitMean,857
bill_priorAccount_std,831
bill_account_std,816
bill_count_monthAvg,779
bill_account_pctSumAbs,712
browse_tag_3,652
bill_priorRepayCAccount_std,612
household,483
sex,459
education,398
occupation,398
marriage,368
browse_tag_9,110
bill_bankid_count,37
browse_tag_2,6
browse_tag_11,6
