feature,score
browse_countAvgMon,2354
bill_prior_repayCaccount_topMean,2214
bill_limit-account_mean,2047
browse_meanAvgMon,1961
bill_accountBalance_mean,1719
bill_limit-account_topMean,1699
bill_minimunRepay_mean,1688
browse_count,1619
bill_priorRepay_mean,1441
bill_minimunRepay_pctSum,1390
bill_account_monthAvg,1389
browse_tag_5,1269
bill_countbank_id,1238
bill_priorRepay_max,1233
bill_priorAccount_mean,1231
bill_prior_repayCaccount_mean,1209
browse_tag_7,1163
bill_limitSum,1142
browse_tag_10,1133
browse_tag_1,1131
bill_priorAccount_max,1119
browse_tag_6,1110
browse_tag_4,1076
bill_priorRepay_pctSum,1018
bill_accountBalance_pctSum,1016
bill_minimunRepay_std,986
browse_tag_8,968
bill_account_pctSum,942
bill_accountBalance_std,925
bill_priorAccount_pctSum,922
bill_account_std,879
bill_limitStd,828
bill_limitMean,820
bill_priorAccount_std,807
bill_priorRepay_std,783
bill_count_monthAvg,779
bill_account_pctSumAbs,696
bill_priorRepayCAccount_std,688
browse_tag_3,623
household,507
sex,455
marriage,437
occupation,423
education,417
browse_tag_9,76
bill_bankid_count,41
browse_tag_11,8
browse_tag_2,3
