feature,score
browse_countAvgMon,1875
bill_prior_repayCaccount_topMean,1736
bill_limit-account_mean,1668
browse_meanAvgMon,1487
bill_minimunRepay_mean,1336
bill_accountBalance_mean,1302
bill_limit-account_topMean,1162
browse_count,1085
bill_minimunRepay_pctSum,1043
bill_account_monthAvg,1026
bill_priorRepay_mean,1002
bill_priorAccount_mean,995
bill_priorRepay_max,965
bill_countbank_id,958
bill_prior_repayCaccount_mean,914
browse_tag_10,899
browse_tag_7,885
bill_limitSum,877
bill_priorRepay_pctSum,857
browse_tag_6,853
browse_tag_5,841
bill_priorAccount_max,841
browse_tag_1,837
browse_tag_4,773
browse_tag_8,772
bill_priorAccount_pctSum,754
bill_minimunRepay_std,733
bill_accountBalance_std,719
bill_priorRepay_std,718
bill_account_pctSum,711
bill_priorAccount_std,694
bill_accountBalance_pctSum,688
bill_account_std,653
bill_limitMean,620
bill_limitStd,618
bill_count_monthAvg,604
bill_account_pctSumAbs,571
browse_tag_3,510
bill_priorRepayCAccount_std,477
household,387
sex,381
education,319
occupation,319
marriage,309
browse_tag_9,64
bill_bankid_count,39
browse_tag_11,5
browse_tag_2,2
