feature,score
browse_countAvgMon,3039
bill_limit-account_mean,2630
bill_prior_repayCaccount_topMean,2563
browse_meanAvgMon,2350
bill_accountBalance_mean,2180
bill_minimunRepay_mean,2054
bill_limit-account_topMean,2018
browse_count,1825
bill_priorRepay_mean,1778
bill_priorAccount_mean,1699
bill_minimunRepay_pctSum,1636
bill_prior_repayCaccount_mean,1629
bill_account_monthAvg,1582
bill_limitSum,1549
bill_priorRepay_max,1523
browse_tag_1,1521
bill_countbank_id,1501
browse_tag_10,1426
browse_tag_5,1376
bill_priorAccount_max,1342
browse_tag_7,1337
bill_priorRepay_pctSum,1336
browse_tag_6,1333
bill_accountBalance_pctSum,1316
bill_minimunRepay_std,1278
browse_tag_4,1273
bill_account_pctSum,1262
bill_priorAccount_pctSum,1194
bill_accountBalance_std,1190
bill_limitMean,1178
browse_tag_8,1097
bill_priorAccount_std,1075
bill_limitStd,1056
bill_account_std,1022
bill_priorRepay_std,1004
bill_count_monthAvg,915
bill_priorRepayCAccount_std,855
bill_account_pctSumAbs,839
browse_tag_3,749
sex,620
household,571
education,534
marriage,505
occupation,487
browse_tag_9,139
bill_bankid_count,86
browse_tag_11,10
browse_tag_2,7
