feature,score
browse_countAvgMon,1885
bill_limit-account_mean,1720
bill_prior_repayCaccount_topMean,1599
browse_meanAvgMon,1487
bill_minimunRepay_mean,1408
bill_accountBalance_mean,1248
bill_limit-account_topMean,1157
browse_count,1141
bill_account_monthAvg,1064
bill_priorAccount_mean,1064
bill_priorRepay_mean,1040
bill_countbank_id,1031
bill_minimunRepay_pctSum,1028
bill_prior_repayCaccount_mean,1004
bill_priorRepay_max,963
bill_limitSum,962
browse_tag_10,924
bill_priorAccount_max,903
browse_tag_5,874
browse_tag_1,869
browse_tag_7,868
browse_tag_6,815
bill_accountBalance_std,811
bill_priorRepay_pctSum,810
bill_accountBalance_pctSum,795
bill_account_pctSum,782
bill_minimunRepay_std,777
browse_tag_8,759
browse_tag_4,733
bill_account_std,725
bill_priorRepay_std,717
bill_priorAccount_std,687
bill_priorAccount_pctSum,678
bill_limitMean,584
bill_count_monthAvg,584
bill_limitStd,571
bill_priorRepayCAccount_std,560
bill_account_pctSumAbs,533
browse_tag_3,516
household,384
sex,371
education,368
occupation,336
marriage,301
browse_tag_9,74
bill_bankid_count,37
browse_tag_11,4
browse_tag_2,1
