feature,score
browse_countAvgMon,1736
bill_prior_repayCaccount_topMean,1466
bill_limit-account_mean,1440
browse_meanAvgMon,1368
bill_accountBalance_mean,1242
bill_minimunRepay_mean,1129
bill_limit-account_topMean,1123
browse_count,1059
bill_account_monthAvg,1000
bill_priorAccount_mean,887
bill_priorRepay_mean,882
bill_minimunRepay_pctSum,850
bill_priorRepay_max,849
bill_countbank_id,839
bill_prior_repayCaccount_mean,822
browse_tag_5,810
browse_tag_7,791
browse_tag_10,791
browse_tag_1,774
bill_limitSum,767
bill_priorAccount_max,721
bill_priorRepay_pctSum,709
browse_tag_4,708
bill_account_pctSum,685
browse_tag_6,680
browse_tag_8,659
bill_accountBalance_std,637
bill_priorRepay_std,609
bill_priorAccount_std,607
bill_account_std,605
bill_priorAccount_pctSum,596
bill_limitStd,586
bill_accountBalance_pctSum,575
bill_minimunRepay_std,569
bill_limitMean,527
bill_count_monthAvg,497
bill_account_pctSumAbs,467
bill_priorRepayCAccount_std,454
browse_tag_3,416
household,352
sex,336
occupation,298
education,287
marriage,273
browse_tag_9,46
bill_bankid_count,27
browse_tag_11,5
browse_tag_2,1
