feature,score
bill_limit-account_mean,3386
browse_countAvgMon,3326
bill_prior_repayCaccount_topMean,2978
browse_meanAvgMon,2906
bill_minimunRepay_mean,2647
bill_accountBalance_mean,2622
browse_count,2373
bill_priorRepay_mean,2195
bill_account_monthAvg,2177
bill_limit-account_topMean,2108
bill_minimunRepay_pctSum,2031
bill_priorAccount_mean,2007
bill_limitSum,1971
bill_prior_repayCaccount_mean,1864
bill_priorRepay_max,1803
bill_countbank_id,1797
browse_tag_5,1785
browse_tag_10,1669
browse_tag_7,1656
bill_priorAccount_max,1639
browse_tag_1,1613
browse_tag_4,1565
bill_account_pctSum,1546
bill_priorRepay_pctSum,1531
browse_tag_6,1498
bill_minimunRepay_std,1488
browse_tag_8,1461
bill_accountBalance_std,1410
bill_account_std,1401
bill_priorAccount_pctSum,1363
bill_priorRepay_std,1339
bill_limitMean,1332
bill_accountBalance_pctSum,1286
bill_count_monthAvg,1238
bill_priorAccount_std,1202
bill_limitStd,1131
browse_tag_3,1037
bill_priorRepayCAccount_std,1021
bill_account_pctSumAbs,994
sex,756
household,726
occupation,675
marriage,656
education,644
bill_bankid_count,200
browse_tag_9,167
browse_tag_2,12
browse_tag_11,10
