feature,score
browse_countAvgMon,2268
bill_limit-account_mean,2140
bill_prior_repayCaccount_topMean,2139
browse_meanAvgMon,1978
bill_accountBalance_mean,1757
bill_limit-account_topMean,1697
bill_minimunRepay_mean,1639
browse_count,1432
bill_priorRepay_mean,1400
bill_account_monthAvg,1384
bill_minimunRepay_pctSum,1372
bill_priorAccount_mean,1262
bill_priorRepay_max,1246
browse_tag_5,1197
bill_countbank_id,1170
bill_limitSum,1163
bill_prior_repayCaccount_mean,1147
browse_tag_7,1136
browse_tag_1,1095
browse_tag_10,1078
browse_tag_6,1049
bill_priorAccount_max,1047
bill_priorRepay_pctSum,1024
bill_account_pctSum,1020
bill_accountBalance_pctSum,927
bill_minimunRepay_std,925
browse_tag_8,922
browse_tag_4,920
bill_priorAccount_pctSum,906
bill_accountBalance_std,882
bill_priorAccount_std,862
bill_limitStd,825
bill_account_std,818
bill_priorRepay_std,807
bill_limitMean,796
bill_count_monthAvg,759
bill_priorRepayCAccount_std,657
bill_account_pctSumAbs,617
browse_tag_3,602
household,493
sex,467
occupation,440
education,417
marriage,413
browse_tag_9,88
bill_bankid_count,35
browse_tag_11,3
browse_tag_2,1
