feature,score
browse_countAvgMon,1036
bill_prior_repayCaccount_topMean,938
bill_limit-account_mean,791
browse_meanAvgMon,734
bill_limit-account_topMean,695
bill_accountBalance_mean,666
bill_minimunRepay_mean,643
bill_countbank_id,577
bill_account_monthAvg,570
bill_minimunRepay_pctSum,554
browse_count,547
bill_priorRepay_mean,529
bill_priorAccount_mean,516
bill_priorRepay_max,494
browse_tag_10,488
browse_tag_5,473
browse_tag_7,452
bill_prior_repayCaccount_mean,452
bill_account_pctSum,425
bill_priorAccount_max,419
browse_tag_1,418
bill_limitSum,417
browse_tag_6,407
browse_tag_4,404
bill_accountBalance_std,404
bill_priorRepay_pctSum,382
bill_priorRepay_std,378
browse_tag_8,375
bill_priorAccount_pctSum,365
bill_minimunRepay_std,361
bill_priorAccount_std,341
bill_accountBalance_pctSum,337
bill_count_monthAvg,335
bill_account_std,331
bill_limitMean,316
bill_account_pctSumAbs,314
bill_limitStd,301
bill_priorRepayCAccount_std,290
browse_tag_3,235
sex,200
household,199
occupation,181
marriage,167
education,161
browse_tag_9,24
bill_bankid_count,9
browse_tag_11,1
