feature,score
browse_countAvgMon,1804
bill_prior_repayCaccount_topMean,1732
bill_limit-account_mean,1579
browse_meanAvgMon,1539
bill_minimunRepay_mean,1349
bill_limit-account_topMean,1296
bill_accountBalance_mean,1240
browse_count,1219
bill_minimunRepay_pctSum,1110
bill_priorRepay_mean,1099
bill_priorRepay_max,1022
bill_prior_repayCaccount_mean,1013
bill_priorAccount_mean,1004
bill_limitSum,1002
bill_account_monthAvg,984
bill_countbank_id,973
browse_tag_5,930
browse_tag_1,929
browse_tag_10,923
bill_priorRepay_pctSum,906
browse_tag_7,902
bill_priorAccount_max,860
bill_minimunRepay_std,810
browse_tag_4,808
bill_accountBalance_pctSum,808
bill_accountBalance_std,805
browse_tag_6,784
bill_account_pctSum,782
browse_tag_8,781
bill_priorAccount_std,759
bill_priorAccount_pctSum,757
bill_priorRepay_std,747
bill_account_std,708
bill_limitMean,692
bill_count_monthAvg,613
bill_account_pctSumAbs,611
bill_limitStd,576
bill_priorRepayCAccount_std,545
browse_tag_3,525
household,395
sex,391
education,357
occupation,355
marriage,299
browse_tag_9,73
bill_bankid_count,57
browse_tag_11,7
browse_tag_2,2
