feature,score
browse_countAvgMon,1936
bill_prior_repayCaccount_topMean,1813
bill_limit-account_mean,1722
browse_meanAvgMon,1603
bill_minimunRepay_mean,1362
bill_accountBalance_mean,1359
browse_count,1179
bill_limit-account_topMean,1128
bill_account_monthAvg,1105
bill_priorAccount_mean,1105
bill_priorRepay_mean,1098
bill_minimunRepay_pctSum,1052
bill_countbank_id,1003
bill_priorRepay_max,990
browse_tag_5,976
bill_prior_repayCaccount_mean,959
browse_tag_10,938
browse_tag_7,934
bill_limitSum,926
bill_priorAccount_max,881
browse_tag_1,874
bill_priorRepay_pctSum,868
browse_tag_6,833
browse_tag_4,827
bill_account_pctSum,793
browse_tag_8,780
bill_minimunRepay_std,780
bill_account_std,760
bill_priorRepay_std,753
bill_accountBalance_std,742
bill_priorAccount_pctSum,729
bill_accountBalance_pctSum,694
bill_priorAccount_std,680
bill_limitMean,663
bill_count_monthAvg,663
bill_limitStd,599
bill_priorRepayCAccount_std,556
bill_account_pctSumAbs,533
browse_tag_3,481
household,419
sex,374
education,346
marriage,329
occupation,325
browse_tag_9,68
bill_bankid_count,39
browse_tag_11,6
browse_tag_2,2
