feature,score
bill_prior_repayCaccount_topMean,1630
browse_countAvgMon,1604
bill_limit-account_mean,1413
browse_meanAvgMon,1379
bill_minimunRepay_mean,1088
bill_accountBalance_mean,1076
bill_limit-account_topMean,1047
bill_priorRepay_mean,975
browse_count,957
bill_account_monthAvg,890
bill_priorRepay_max,864
bill_minimunRepay_pctSum,856
bill_priorAccount_mean,851
bill_countbank_id,844
browse_tag_10,793
browse_tag_5,786
bill_prior_repayCaccount_mean,781
browse_tag_7,772
browse_tag_1,746
bill_priorRepay_pctSum,721
bill_account_pctSum,718
browse_tag_6,711
bill_priorAccount_max,685
bill_limitSum,681
browse_tag_8,675
browse_tag_4,656
bill_minimunRepay_std,641
bill_accountBalance_std,640
bill_priorRepay_std,632
bill_accountBalance_pctSum,618
bill_priorAccount_pctSum,609
bill_account_std,597
bill_priorAccount_std,579
bill_limitStd,521
bill_limitMean,516
bill_count_monthAvg,501
bill_account_pctSumAbs,491
bill_priorRepayCAccount_std,454
browse_tag_3,429
sex,341
household,326
education,299
marriage,297
occupation,286
browse_tag_9,53
bill_bankid_count,16
browse_tag_2,2
