feature,score
browse_countAvgMon,1687
bill_prior_repayCaccount_topMean,1569
bill_limit-account_mean,1454
browse_meanAvgMon,1300
bill_accountBalance_mean,1103
bill_limit-account_topMean,1093
bill_minimunRepay_mean,1088
browse_count,1019
bill_account_monthAvg,967
bill_priorRepay_mean,930
bill_minimunRepay_pctSum,914
bill_priorAccount_mean,903
bill_priorRepay_max,868
bill_countbank_id,860
bill_prior_repayCaccount_mean,846
bill_limitSum,845
browse_tag_5,837
browse_tag_7,778
browse_tag_1,753
browse_tag_10,753
bill_priorAccount_max,750
browse_tag_6,712
browse_tag_4,709
bill_account_pctSum,699
bill_priorRepay_pctSum,696
bill_minimunRepay_std,656
browse_tag_8,652
bill_account_std,650
bill_accountBalance_pctSum,644
bill_accountBalance_std,641
bill_priorAccount_pctSum,637
bill_priorRepay_std,617
bill_priorAccount_std,565
bill_limitStd,528
bill_limitMean,517
bill_count_monthAvg,499
bill_account_pctSumAbs,463
bill_priorRepayCAccount_std,444
browse_tag_3,417
household,362
sex,331
education,306
occupation,298
marriage,253
browse_tag_9,48
bill_bankid_count,18
browse_tag_11,1
