feature,score
browse_countAvgMon,2564
bill_limit-account_mean,2371
bill_prior_repayCaccount_topMean,2286
browse_meanAvgMon,2201
bill_minimunRepay_mean,1941
bill_accountBalance_mean,1815
bill_limit-account_topMean,1520
bill_priorAccount_mean,1397
bill_account_monthAvg,1393
browse_count,1385
bill_priorRepay_mean,1380
bill_minimunRepay_pctSum,1340
browse_tag_5,1295
bill_priorRepay_max,1276
browse_tag_1,1261
bill_countbank_id,1222
bill_prior_repayCaccount_mean,1198
browse_tag_7,1172
browse_tag_10,1166
bill_limitSum,1161
bill_priorRepay_pctSum,1135
browse_tag_6,1057
bill_account_pctSum,1040
bill_priorAccount_max,1040
bill_accountBalance_pctSum,1019
browse_tag_8,973
bill_accountBalance_std,958
browse_tag_4,957
bill_minimunRepay_std,953
bill_priorAccount_pctSum,864
bill_priorRepay_std,853
bill_account_std,843
bill_count_monthAvg,842
bill_priorAccount_std,830
bill_limitStd,827
bill_limitMean,796
bill_account_pctSumAbs,721
bill_priorRepayCAccount_std,650
browse_tag_3,618
sex,549
household,512
education,466
occupation,456
marriage,410
browse_tag_9,100
bill_bankid_count,27
browse_tag_2,4
browse_tag_11,4
