feature,score
browse_countAvgMon,1053
bill_prior_repayCaccount_topMean,901
bill_limit-account_mean,850
browse_meanAvgMon,760
bill_minimunRepay_mean,734
bill_limit-account_topMean,680
bill_accountBalance_mean,680
bill_priorAccount_mean,576
bill_countbank_id,575
browse_count,561
bill_minimunRepay_pctSum,560
bill_priorRepay_mean,555
bill_account_monthAvg,532
bill_priorRepay_max,520
bill_prior_repayCaccount_mean,504
browse_tag_5,498
bill_limitSum,497
browse_tag_10,479
browse_tag_6,465
browse_tag_7,462
bill_priorAccount_max,460
browse_tag_1,453
browse_tag_4,447
bill_priorRepay_pctSum,439
bill_account_std,403
bill_minimunRepay_std,401
bill_account_pctSum,394
bill_priorAccount_std,392
bill_accountBalance_std,389
bill_priorAccount_pctSum,387
bill_priorRepay_std,383
browse_tag_8,382
bill_limitMean,351
bill_limitStd,350
bill_accountBalance_pctSum,348
bill_count_monthAvg,330
bill_account_pctSumAbs,301
bill_priorRepayCAccount_std,294
browse_tag_3,258
household,241
sex,202
education,197
marriage,152
occupation,144
browse_tag_9,27
bill_bankid_count,18
browse_tag_2,1
browse_tag_11,1
