feature,score
browse_countAvgMon,2551
bill_prior_repayCaccount_topMean,2350
bill_limit-account_mean,2240
browse_meanAvgMon,2168
bill_accountBalance_mean,1851
bill_minimunRepay_mean,1822
bill_limit-account_topMean,1588
browse_count,1545
bill_minimunRepay_pctSum,1467
bill_priorAccount_mean,1463
bill_account_monthAvg,1406
browse_tag_5,1400
bill_priorRepay_mean,1345
bill_countbank_id,1304
bill_priorRepay_max,1298
browse_tag_10,1228
browse_tag_7,1221
bill_prior_repayCaccount_mean,1190
bill_priorRepay_pctSum,1163
browse_tag_1,1146
bill_priorAccount_max,1131
bill_limitSum,1125
browse_tag_6,1081
bill_account_pctSum,1068
browse_tag_4,1062
bill_accountBalance_std,1017
bill_minimunRepay_std,997
browse_tag_8,982
bill_accountBalance_pctSum,956
bill_account_std,933
bill_priorAccount_pctSum,915
bill_limitStd,892
bill_priorRepay_std,891
bill_priorAccount_std,881
bill_count_monthAvg,796
bill_limitMean,786
bill_account_pctSumAbs,737
bill_priorRepayCAccount_std,686
browse_tag_3,670
sex,610
household,536
occupation,481
education,470
marriage,431
browse_tag_9,112
bill_bankid_count,37
browse_tag_11,6
browse_tag_2,3
