feature,score
browse_countAvgMon,1105
bill_prior_repayCaccount_topMean,944
bill_limit-account_mean,871
browse_meanAvgMon,810
bill_limit-account_topMean,717
bill_minimunRepay_mean,683
bill_accountBalance_mean,677
bill_countbank_id,627
browse_count,618
bill_priorRepay_mean,600
bill_priorAccount_mean,593
bill_minimunRepay_pctSum,571
bill_prior_repayCaccount_mean,552
bill_account_monthAvg,540
browse_tag_5,527
browse_tag_7,515
bill_priorRepay_max,500
bill_limitSum,486
browse_tag_6,476
browse_tag_10,475
bill_accountBalance_std,474
browse_tag_1,460
bill_priorAccount_max,447
browse_tag_4,446
browse_tag_8,439
bill_priorRepay_pctSum,436
bill_minimunRepay_std,431
bill_account_pctSum,430
bill_priorAccount_std,413
bill_account_std,411
bill_priorAccount_pctSum,392
bill_accountBalance_pctSum,386
bill_priorRepay_std,358
bill_account_pctSumAbs,346
bill_count_monthAvg,328
bill_priorRepayCAccount_std,315
bill_limitMean,301
bill_limitStd,299
browse_tag_3,295
household,223
sex,191
occupation,175
marriage,172
education,162
browse_tag_9,42
bill_bankid_count,20
browse_tag_11,1
