feature,score
bill_prior_repayCaccount_topMean,1487
browse_countAvgMon,1462
bill_limit-account_mean,1377
browse_meanAvgMon,1241
bill_limit-account_topMean,1228
bill_minimunRepay_mean,1084
bill_accountBalance_mean,1073
browse_count,954
bill_priorAccount_mean,898
bill_priorRepay_max,865
bill_countbank_id,859
bill_priorRepay_mean,858
browse_tag_7,814
bill_minimunRepay_pctSum,813
bill_account_monthAvg,798
bill_prior_repayCaccount_mean,794
bill_limitSum,781
browse_tag_10,773
browse_tag_6,751
bill_accountBalance_std,747
browse_tag_1,739
bill_priorAccount_max,738
browse_tag_4,732
bill_priorRepay_pctSum,731
browse_tag_5,721
bill_accountBalance_pctSum,703
bill_account_pctSum,678
bill_account_std,675
bill_minimunRepay_std,651
bill_priorRepay_std,643
bill_priorAccount_pctSum,635
browse_tag_8,635
bill_limitMean,603
bill_priorAccount_std,577
bill_limitStd,511
bill_count_monthAvg,506
bill_account_pctSumAbs,467
bill_priorRepayCAccount_std,460
browse_tag_3,396
sex,351
household,325
education,304
occupation,260
marriage,223
browse_tag_9,53
bill_bankid_count,33
browse_tag_11,4
