userid,probability
55597,0.112012144178
55598,0.0239425990731
55599,0.0662243701517
55600,0.151233226061
55601,0.170722365379
55602,0.121961601079
55603,0.18682077527
55604,0.0581842251122
55605,0.129678070545
55606,0.0599415898323
55607,0.0155454073101
55608,0.0373963266611
55609,0.18082845211
55610,0.270877122879
55611,0.0563679486513
55612,0.111806873232
55613,0.114434488118
55614,0.0518531575799
55615,0.177181899548
55616,0.0994023233652
55617,0.0280840750784
55618,0.0422764830291
55619,0.140641346574
55620,0.0504934415221
55621,0.0748788416386
55622,0.147646516562
55623,0.245475247502
55624,0.0410218983889
55625,0.0189649425447
55626,0.188810959458
55627,0.372701406479
55628,0.157378271222
55629,0.128567054868
55630,0.151384696364
55631,0.0283248815686
55632,0.0174583792686
55633,0.0648300275207
55634,0.339747130871
55635,0.0332014039159
55636,0.293343365192
55637,0.12732937932
55638,0.292285352945
55639,0.076686128974
55640,0.0392527282238
55641,0.324478924274
55642,0.0882740691304
55643,0.0732307434082
55644,0.207036301494
55645,0.194207817316
55646,0.0594117194414
55647,0.597352683544
55648,0.0259650684893
55649,0.102093890309
55650,0.249699831009
55651,0.040593508631
55652,0.223136842251
55653,0.0482841990888
55654,0.342799216509
55655,0.108635798097
55656,0.156439244747
55657,0.22681812942
55658,0.0226421076804
55659,0.243449658155
55660,0.09537435323
55661,0.146791756153
55662,0.236007094383
55663,0.175985306501
55664,0.0594684742391
55665,0.175317510962
55666,0.0365466102958
55667,0.188871830702
55668,0.0367404855788
55669,0.598682940006
55670,0.363065540791
55671,0.109959572554
55672,0.0438747629523
55673,0.132003054023
55674,0.243265107274
55675,0.166664808989
55676,0.126054242253
55677,0.194168910384
55678,0.0562605559826
55679,0.128982141614
55680,0.0152251543477
55681,0.0374930016696
55682,0.134685412049
55683,0.0690246447921
55684,0.034731477499
55685,0.551868021488
55686,0.204336449504
55687,0.208115041256
55688,0.338755548
55689,0.0467953644693
55690,0.155537486076
55691,0.0333295352757
55692,0.184036880732
55693,0.0596538484097
55694,0.149150267243
55695,0.193372696638
55696,0.0159220378846
55697,0.101993478835
55698,0.0626656487584
55699,0.0666580870748
55700,0.235662862659
55701,0.162014216185
55702,0.0578482188284
55703,0.0629949942231
55704,0.0127152353525
55705,0.0340822115541
55706,0.0796056091785
55707,0.139035582542
55708,0.07706297189
55709,0.176723703742
55710,0.134081795812
55711,0.239422887564
55712,0.0431456789374
55713,0.149461641908
55714,0.037027746439
55715,0.0424432754517
55716,0.207469388843
55717,0.0306632369757
55718,0.0252334270626
55719,0.14070867002
55720,0.0275173038244
55721,0.0177776496857
55722,0.104040153325
55723,0.120393738151
55724,0.0731721073389
55725,0.0369887948036
55726,0.145705521107
55727,0.239587500691
55728,0.223339393735
55729,0.051348157227
55730,0.0171570461243
55731,0.032467007637
55732,0.116608828306
55733,0.0349930003285
55734,0.0595848448575
55735,0.17562533915
55736,0.236007094383
55737,0.090771868825
55738,0.198445424438
55739,0.221292838454
55740,0.234385624528
55741,0.125774309039
55742,0.0468222647905
55743,0.0407083258033
55744,0.0527999959886
55745,0.0686388686299
55746,0.066078491509
55747,0.0380648858845
55748,0.165766209364
55749,0.126239433885
55750,0.0275188088417
55751,0.0996968075633
55752,0.363129168749
55753,0.231426939368
55754,0.110182464123
