userid,probability
55597,0.107217818499
55598,0.0284934602678
55599,0.0927679091692
55600,0.0977969244123
55601,0.144602745771
55602,0.212610527873
55603,0.136814579368
55604,0.0656761676073
55605,0.114060305059
55606,0.0923288017511
55607,0.0618944130838
55608,0.108795441687
55609,0.131773248315
55610,0.111266247928
55611,0.291935175657
55612,0.0810407325625
55613,0.135084167123
55614,0.160626783967
55615,0.0658115968108
55616,0.0925453528762
55617,0.117639295757
55618,0.0671121403575
55619,0.207855001092
55620,0.045556627214
55621,0.107106022537
55622,0.0661848857999
55623,0.431208819151
55624,0.160944402218
55625,0.0790647044778
55626,0.268632203341
55627,0.205473229289
55628,0.0795543193817
55629,0.105563513935
55630,0.0814291760325
55631,0.052465941757
55632,0.0278988983482
55633,0.107704356313
55634,0.214054331183
55635,0.070197083056
55636,0.308900028467
55637,0.176298946142
55638,0.0987527668476
55639,0.0675187334418
55640,0.090511418879
55641,0.436626136303
55642,0.0520626492798
55643,0.0726482719183
55644,0.0796391218901
55645,0.13528457284
55646,0.0903164818883
55647,0.476102828979
55648,0.0556724965572
55649,0.212822169065
55650,0.0806567445397
55651,0.0857225134969
55652,0.124641820788
55653,0.215956300497
55654,0.198817461729
55655,0.124433740973
55656,0.108840450644
55657,0.0965851917863
55658,0.0796028748155
55659,0.270026296377
55660,0.0586793534458
55661,0.0669922828674
55662,0.143581956625
55663,0.0760532170534
55664,0.153173133731
55665,0.0653604567051
55666,0.0982932597399
55667,0.296815991402
55668,0.0462712869048
55669,0.215244799852
55670,0.144191980362
55671,0.0740820020437
55672,0.115858107805
55673,0.126745045185
55674,0.0840153992176
55675,0.18172159791
55676,0.0977897569537
55677,0.116438634694
55678,0.0862678289413
55679,0.0799155831337
55680,0.0768176540732
55681,0.0492248497903
55682,0.162149772048
55683,0.115745171905
55684,0.0509293377399
55685,0.345044255257
55686,0.100616745651
55687,0.201151147485
55688,0.229669526219
55689,0.114085733891
55690,0.0772727653384
55691,0.0443158149719
55692,0.170249223709
55693,0.0668876394629
55694,0.160523340106
55695,0.0790480077267
55696,0.0605394653976
55697,0.067738071084
55698,0.199221104383
55699,0.072823561728
55700,0.166511386633
55701,0.151160314679
55702,0.103434130549
55703,0.0934443175793
55704,0.103417284787
55705,0.109702378511
55706,0.128648355603
55707,0.0711316019297
55708,0.0857064202428
55709,0.133276388049
55710,0.172723174095
55711,0.126084849238
55712,0.0727892145514
55713,0.171584531665
55714,0.070358812809
55715,0.112449839711
55716,0.0772517174482
55717,0.0986781865358
55718,0.0456909090281
55719,0.2451608181
55720,0.0364530459046
55721,0.0810701474547
55722,0.0791844204068
55723,0.0369766801596
55724,0.0901045501232
55725,0.0896102413535
55726,0.272113710642
55727,0.168080985546
55728,0.29237344861
55729,0.128276199102
55730,0.0468143932521
55731,0.0430398359895
55732,0.057917766273
55733,0.0541239343584
55734,0.230068996549
55735,0.0721357911825
55736,0.121835514903
55737,0.047704398632
55738,0.13979575038
55739,0.0830516517162
55740,0.144391208887
55741,0.0939045771956
55742,0.0695583596826
55743,0.0479353368282
55744,0.0881889313459
55745,0.189707994461
55746,0.0856391862035
55747,0.0723310336471
55748,0.0892135873437
55749,0.0721800401807
55750,0.0742000490427
55751,0.0707883909345
55752,0.192339479923
55753,0.0989988669753
55754,0.0661707445979
55755,0.0553485564888
55756,0.136119499803
55757,0.16260920465
55758,0.0581790469587
55759,0.0732124000788
55760,0.117070175707
55761,0.0347818434238
55762,0.028700331226
55763,0.0655791461468
55764,0.0773933082819
55765,0.824535131454
55766,0.0728294998407
55767,0.283186227083
55768,0.208817616105
55769,0.0707058683038
55770,0.170872375369
55771,0.184567347169
55772,0.0386939160526
55773,0.0415101982653
55774,0.0808625891805
55775,0.16236358881
55776,0.0608622096479
55777,0.0553679354489
55778,0.248437806964
55779,0.260380059481
55780,0.0419719554484
55781,0.22854064405
55782,0.0847952216864
55783,0.0316008925438
55784,0.108037978411
55785,0.069902010262
55786,0.0478732213378
55787,0.0566671937704
55788,0.0994137823582
55789,0.24091643095
55790,0.0694929212332
55791,0.0636475533247
55792,0.21572239697
55793,0.0346627086401
55794,0.162987545133
55795,0.0671238601208
55796,0.0497284866869
55797,0.108416512609
55798,0.144527420402
55799,0.139593496919
55800,0.243644699454
55801,0.0390912331641
55802,0.150183930993
55803,0.323584794998
55804,0.201663926244
55805,0.0294845588505
55806,0.11006385088
55807,0.110369704664
55808,0.141479536891
55809,0.126421764493
55810,0.233459427953
55811,0.0653633102775
55812,0.134645879269
55813,0.0803167968988
55814,0.138698682189
55815,0.187684372067
55816,0.0708509460092
55817,0.106082640588
55818,0.131347492337
55819,0.170422524214
55820,0.079135492444
55821,0.15429136157
55822,0.3397975564
55823,0.0606288723648
55824,0.0607565417886
55825,0.0805157423019
55826,0.0869759395719
55827,0.0591222830117
55828,0.481784164906
55829,0.0658034905791
55830,0.060092009604
55831,0.203438952565
55832,0.0532702840865
55833,0.126572370529
55834,0.165866479278
55835,0.149595573545
55836,0.129914134741
55837,0.0585071146488
55838,0.0236910749227
55839,0.155806779861
55840,0.0610700398684
55841,0.110565580428
55842,0.113804869354
55843,0.164588302374
55844,0.112664289773
55845,0.134109899402
55846,0.11919876188
55847,0.0628600865602
55848,0.0882861241698
55849,0.0168133247644
55850,0.0845496430993
55851,0.165883928537
55852,0.0998832657933
55853,0.0811004266143
55854,0.142153635621
55855,0.0231129862368
55856,0.199123352766
55857,0.0382566377521
55858,0.137992337346
55859,0.0879941880703
55860,0.07553268224
55861,0.138928443193
55862,0.0501324273646
55863,0.0982371047139
55864,0.086906477809
55865,0.137184768915
55866,0.165355175734
55867,0.140211164951
55868,0.114718481898
55869,0.0652404427528
55870,0.0870295763016
55871,0.0580451563001
55872,0.0926908105612
55873,0.288255661726
55874,0.0249912869185
55875,0.206970006227
55876,0.0762894526124
55877,0.135766789317
55878,0.0649321526289
55879,0.176967486739
55880,0.0982683077455
55881,0.139754191041
55882,0.276554316282
55883,0.185219779611
55884,0.290977180004
55885,0.135322913527
55886,0.180798068643
55887,0.0745380595326
55888,0.238121911883
55889,0.108059599996
55890,0.0827715471387
55891,0.152405798435
55892,0.0479670315981
55893,0.15299244225
55894,0.0177304185927
55895,0.283783644438
55896,0.173648566008
55897,0.0469102151692
55898,0.123372510076
55899,0.115410253406
55900,0.202722728252
55901,0.190917789936
55902,0.130621224642
55903,0.0832641646266
55904,0.172045260668
55905,0.0726453959942
55906,0.225168541074
55907,0.102886073291
55908,0.0639175996184
55909,0.089440330863
55910,0.0867483690381
55911,0.129207864404
55912,0.071643166244
55913,0.130111351609
55914,0.0743214488029
55915,0.0602614656091
55916,0.287366867065
55917,0.12538677454
55918,0.114230297506
55919,0.0760456249118
55920,0.0484273768961
55921,0.0732391253114
55922,0.0851270183921
55923,0.0876719802618
55924,0.0731230527163
55925,0.107654251158
55926,0.111008666456
55927,0.0458901934326
55928,0.111200854182
55929,0.0686767548323
55930,0.306469321251
55931,0.299157679081
55932,0.100582897663
55933,0.159584134817
55934,0.139889284968
55935,0.235541626811
55936,0.164989650249
55937,0.106499619782
55938,0.105180501938
55939,0.127577215433
55940,0.117066316307
55941,0.218749016523
55942,0.109841883183
55943,0.105815120041
55944,0.0589106455445
55945,0.0730388388038
55946,0.10925988853
55947,0.0562517009676
55948,0.160153642297
55949,0.0607377402484
55950,0.14695237577
55951,0.216211363673
55952,0.102843888104
55953,0.242096498609
55954,0.0840848386288
55955,0.0249611455947
55956,0.0997984781861
55957,0.128304854035
55958,0.138764888048
55959,0.132189661264
55960,0.180752545595
55961,0.106327570975
55962,0.188353359699
55963,0.0418492257595
55964,0.189868733287
55965,0.122111462057
55966,0.0521087907255
55967,0.0379374846816
55968,0.0503308065236
55969,0.0315599441528
55970,0.042058814317
55971,0.0633760765195
55972,0.0234187170863
55973,0.138684406877
55974,0.0357620343566
55975,0.613989830017
55976,0.113388828933
55977,0.0532395578921
55978,0.132673621178
55979,0.0536267012358
55980,0.123622447252
55981,0.158634886146
55982,0.0813349336386
55983,0.0438328534365
55984,0.199873685837
55985,0.111066944897
55986,0.0454343408346
55987,0.519531190395
55988,0.0561764724553
55989,0.0996589958668
55990,0.152950972319
55991,0.0367924645543
55992,0.039395801723
55993,0.0882219150662
55994,0.139258652925
55995,0.0387577302754
55996,0.0663365349174
55997,0.164885550737
55998,0.105466879904
55999,0.395560413599
56000,0.20198237896
56001,0.177753970027
56002,0.324039578438
56003,0.0858362615108
56004,0.0563728585839
56005,0.0734823346138
56006,0.305635720491
56007,0.236255794764
56008,0.0847186520696
56009,0.0614147633314
56010,0.102884538472
56011,0.0657777860761
56012,0.10775616765
56013,0.0347447879612
56014,0.0712967142463
56015,0.0793468654156
56016,0.201233536005
56017,0.0475913323462
56018,0.0104954577982
56019,0.193979844451
56020,0.0524077750742
56021,0.0934554710984
56022,0.0609918050468
56023,0.165895268321
56024,0.20627373457
56025,0.295823305845
56026,0.0880848094821
56027,0.133210644126
56028,0.101691149175
56029,0.177997469902
56030,0.103238582611
56031,0.160991638899
56032,0.102867349982
56033,0.016546478495
56034,0.0677904114127
56035,0.0397788286209
56036,0.0954182967544
56037,0.136240631342
56038,0.168197005987
56039,0.0756110846996
56040,0.0563493743539
56041,0.085639692843
56042,0.0306111779064
56043,0.0695797204971
56044,0.149943739176
56045,0.0653118565679
56046,0.0396825969219
56047,0.0843764916062
56048,0.044928688556
56049,0.100731343031
56050,0.114892296493
56051,0.0989631861448
56052,0.033761665225
56053,0.0952884852886
56054,0.0681681185961
56055,0.0758697837591
56056,0.0914953202009
56057,0.04861009866
56058,0.0701607614756
56059,0.122044123709
56060,0.0685588791966
56061,0.166151627898
56062,0.135760560632
56063,0.164781317115
56064,0.032149951905
56065,0.102875366807
56066,0.0771810114384
56067,0.103718787432
56068,0.16572201252
56069,0.18789562583
56070,0.0974266007543
56071,0.147262483835
56072,0.198087185621
