userid,probability
55597,0.141225397587
55598,0.0441502071917
55599,0.0733930915594
55600,0.108058691025
55601,0.116580151021
55602,0.278329342604
55603,0.125999704003
55604,0.0423397943377
55605,0.0283693708479
55606,0.194477945566
55607,0.112767107785
55608,0.0819396004081
55609,0.185192078352
55610,0.0758303403854
55611,0.162799462676
55612,0.0187013279647
55613,0.140420630574
55614,0.191921696067
55615,0.0341642573476
55616,0.0556697547436
55617,0.129488274455
55618,0.0406092144549
55619,0.021938925609
55620,0.0284142736346
55621,0.0511905066669
55622,0.0134297199547
55623,0.636546909809
55624,0.0985752418637
55625,0.0371079444885
55626,0.289746671915
55627,0.0701947361231
55628,0.066071562469
55629,0.063197940588
55630,0.0546421445906
55631,0.0354418754578
55632,0.011559266597
55633,0.0991744101048
55634,0.265637487173
55635,0.0278968513012
55636,0.26341548562
55637,0.150655522943
55638,0.0844420343637
55639,0.0421627089381
55640,0.0441880747676
55641,0.53200674057
55642,0.0199544336647
55643,0.0290157999843
55644,0.0236957799643
55645,0.0632764473557
55646,0.0937498733401
55647,0.401588708162
55648,0.051458645612
55649,0.297765314579
55650,0.0384421162307
55651,0.0373202823102
55652,0.117991648614
55653,0.185181558132
55654,0.232384860516
55655,0.0645975247025
55656,0.0741714760661
55657,0.0954839661717
55658,0.0491514243186
55659,0.261119455099
55660,0.0100663006306
55661,0.0586168989539
55662,0.0594892576337
55663,0.0716980621219
55664,0.0992205515504
55665,0.00974847469479
55666,0.0195184443146
55667,0.176762893796
55668,0.0264186002314
55669,0.237559124827
55670,0.0983223393559
55671,0.0928552076221
55672,0.19206301868
55673,0.253511607647
55674,0.187796697021
55675,0.37554320693
55676,0.0515807308257
55677,0.0643822103739
55678,0.0936383605003
55679,0.162772551179
55680,0.0507652573287
55681,0.0109016848728
55682,0.340805083513
55683,0.16379879415
55684,0.0219732634723
55685,0.358359664679
55686,0.207760855556
55687,0.0528535470366
55688,0.0973377898335
55689,0.0934780389071
55690,0.0793848112226
55691,0.0307267736644
55692,0.277421414852
55693,0.0349072627723
55694,0.135465964675
55695,0.0383452288806
55696,0.0112360492349
55697,0.101169116795
55698,0.151949763298
55699,0.0921191200614
55700,0.107473127544
55701,0.0877244397998
55702,0.143401265144
55703,0.0987562909722
55704,0.069173373282
55705,0.0710086226463
55706,0.0743780955672
55707,0.0283341724426
55708,0.0867691114545
55709,0.0832531377673
55710,0.322242468596
55711,0.0550319254398
55712,0.0392929911613
55713,0.145082354546
55714,0.0360886529088
55715,0.102000623941
55716,0.0653682351112
55717,0.111103907228
55718,0.0221969913691
55719,0.192016869783
55720,0.0184635017067
55721,0.0695626214147
55722,0.0455183275044
55723,0.0158029124141
55724,0.0884329453111
55725,0.0333704762161
