feature,score
r_browse_countAvgMon,921
r_bill_limit-account_mean,896
r_bill_prior_repayCaccount_topMean,876
r_browse_meanAvgMon,742
r_bill_accountBalance_mean,650
r_bill_limit-account_topMean,634
r_bill_minimunRepay_mean,633
r_browse_count,610
r_bill_countbank_id,553
r_bill_priorAccount_mean,548
r_bill_minimunRepay_pctSum,547
r_bill_priorRepay_mean,533
r_bill_prior_repayCaccount_mean,526
r_bill_priorRepay_max,524
r_browse_tag_7,495
r_bill_limitSum,484
r_browse_tag_5,471
r_bill_account_monthAvg,470
r_browse_tag_6,447
r_bill_priorRepay_pctSum,435
r_browse_tag_10,427
r_bill_accountBalance_std,425
r_browse_tag_1,424
r_bill_account_pctSum,424
r_bill_priorAccount_max,402
r_browse_tag_8,398
r_bill_priorRepay_std,392
r_browse_tag_4,389
r_bill_minimunRepay_std,387
r_bill_priorAccount_std,378
r_bill_priorAccount_pctSum,364
r_bill_accountBalance_pctSum,357
r_bill_account_std,345
r_bill_limitStd,341
r_bill_limitMean,303
r_bill_account_pctSumAbs,294
r_bill_count_monthAvg,289
r_bill_priorRepayCAccount_std,281
r_browse_tag_3,211
r_household,211
r_sex,188
r_marriage,166
r_education,163
r_occupation,142
r_browse_tag_9,26
r_bill_bankid_count,6
r_browse_tag_11,2
