feature,score
r_browse_countAvgMon,3610
r_bill_limit-account_mean,3487
r_bill_prior_repayCaccount_topMean,3265
r_browse_meanAvgMon,3148
r_bill_minimunRepay_mean,2673
r_bill_accountBalance_mean,2395
r_bill_account_monthAvg,2206
r_browse_count,2171
r_bill_priorRepay_mean,2108
r_bill_priorAccount_mean,2063
r_bill_limit-account_topMean,2027
r_bill_minimunRepay_pctSum,2010
r_bill_limitSum,1878
r_bill_prior_repayCaccount_mean,1868
r_bill_countbank_id,1858
r_bill_priorRepay_max,1828
r_browse_tag_5,1795
r_browse_tag_10,1724
r_browse_tag_1,1693
r_browse_tag_7,1664
r_bill_account_pctSum,1624
r_bill_priorRepay_pctSum,1603
r_bill_priorAccount_max,1590
r_browse_tag_8,1550
r_browse_tag_6,1501
r_bill_minimunRepay_std,1478
r_bill_account_std,1470
r_browse_tag_4,1460
r_bill_accountBalance_std,1421
r_bill_accountBalance_pctSum,1399
r_bill_priorAccount_pctSum,1391
r_bill_priorAccount_std,1356
r_bill_priorRepay_std,1322
r_bill_limitMean,1256
r_bill_count_monthAvg,1225
r_bill_limitStd,1190
r_bill_priorRepayCAccount_std,1014
r_browse_tag_3,1009
r_bill_account_pctSumAbs,986
r_sex,781
r_household,775
r_occupation,711
r_marriage,705
r_education,684
r_browse_tag_9,199
r_bill_bankid_count,190
r_browse_tag_11,15
r_browse_tag_2,4
