feature,score
r_browse_countAvgMon,1779
r_bill_prior_repayCaccount_topMean,1574
r_bill_limit-account_mean,1380
r_browse_meanAvgMon,1249
r_bill_minimunRepay_mean,1147
r_bill_accountBalance_mean,1124
r_bill_limit-account_topMean,1084
r_browse_count,995
r_bill_priorRepay_mean,901
r_bill_countbank_id,889
r_bill_account_monthAvg,887
r_bill_minimunRepay_pctSum,880
r_bill_priorAccount_mean,880
r_bill_priorRepay_max,869
r_browse_tag_5,811
r_bill_limitSum,800
r_bill_prior_repayCaccount_mean,778
r_browse_tag_10,775
r_bill_priorRepay_pctSum,768
r_browse_tag_7,742
r_browse_tag_6,735
r_browse_tag_1,708
r_bill_account_pctSum,672
r_bill_priorAccount_max,670
r_bill_accountBalance_std,668
r_browse_tag_8,666
r_browse_tag_4,660
r_bill_minimunRepay_std,647
r_bill_priorAccount_std,607
r_bill_priorAccount_pctSum,606
r_bill_priorRepay_std,587
r_bill_account_std,580
r_bill_accountBalance_pctSum,567
r_bill_limitStd,530
r_bill_count_monthAvg,517
r_bill_limitMean,488
r_bill_account_pctSumAbs,476
r_bill_priorRepayCAccount_std,431
r_browse_tag_3,418
r_household,353
r_sex,345
r_marriage,295
r_education,284
r_occupation,276
r_browse_tag_9,66
r_bill_bankid_count,14
r_browse_tag_11,4
r_browse_tag_2,1
