feature,score
r_browse_countAvgMon,960
r_bill_prior_repayCaccount_topMean,874
r_bill_limit-account_mean,805
r_browse_meanAvgMon,713
r_bill_accountBalance_mean,708
r_bill_minimunRepay_mean,665
r_browse_count,627
r_bill_limit-account_topMean,591
r_bill_priorRepay_mean,556
r_bill_minimunRepay_pctSum,548
r_bill_account_monthAvg,535
r_bill_priorAccount_mean,535
r_bill_countbank_id,533
r_bill_priorRepay_max,510
r_browse_tag_6,488
r_bill_prior_repayCaccount_mean,475
r_browse_tag_10,463
r_browse_tag_1,459
r_browse_tag_7,445
r_bill_priorAccount_max,443
r_browse_tag_5,439
r_bill_limitSum,424
r_browse_tag_4,412
r_browse_tag_8,393
r_bill_priorRepay_pctSum,388
r_bill_accountBalance_std,387
r_bill_minimunRepay_std,382
r_bill_account_pctSum,369
r_bill_priorRepay_std,366
r_bill_accountBalance_pctSum,357
r_bill_account_std,357
r_bill_priorAccount_pctSum,352
r_bill_priorAccount_std,348
r_bill_count_monthAvg,346
r_bill_limitMean,314
r_bill_account_pctSumAbs,304
r_bill_limitStd,301
r_bill_priorRepayCAccount_std,274
r_browse_tag_3,218
r_sex,196
r_education,188
r_marriage,177
r_household,174
r_occupation,153
r_browse_tag_9,29
r_bill_bankid_count,10
r_browse_tag_11,2
r_browse_tag_2,1
