feature,score
r_browse_countAvgMon,1925
r_bill_prior_repayCaccount_topMean,1757
r_bill_limit-account_mean,1710
r_browse_meanAvgMon,1570
r_bill_minimunRepay_mean,1442
r_bill_accountBalance_mean,1380
r_bill_limit-account_topMean,1273
r_browse_count,1214
r_bill_priorRepay_mean,1209
r_bill_account_monthAvg,1149
r_bill_minimunRepay_pctSum,1129
r_bill_prior_repayCaccount_mean,1077
r_bill_limitSum,1066
r_bill_priorAccount_mean,1059
r_browse_tag_10,1002
r_bill_priorRepay_max,991
r_bill_countbank_id,980
r_bill_priorAccount_max,957
r_browse_tag_1,927
r_browse_tag_5,925
r_bill_priorRepay_pctSum,915
r_browse_tag_7,882
r_bill_account_pctSum,848
r_bill_minimunRepay_std,846
r_browse_tag_4,846
r_browse_tag_6,816
r_bill_accountBalance_pctSum,788
r_bill_account_std,778
r_bill_accountBalance_std,776
r_bill_priorRepay_std,776
r_browse_tag_8,756
r_bill_priorAccount_std,745
r_bill_priorAccount_pctSum,728
r_bill_limitMean,727
r_bill_limitStd,660
r_bill_account_pctSumAbs,627
r_bill_count_monthAvg,617
r_bill_priorRepayCAccount_std,560
r_browse_tag_3,498
r_household,403
r_sex,382
r_marriage,344
r_education,343
r_occupation,340
r_bill_bankid_count,85
r_browse_tag_9,82
r_browse_tag_11,5
r_browse_tag_2,1
