feature,score
r_browse_countAvgMon,3257
r_bill_limit-account_mean,3175
r_browse_meanAvgMon,2900
r_bill_prior_repayCaccount_topMean,2882
r_bill_minimunRepay_mean,2523
r_bill_accountBalance_mean,2376
r_browse_count,2126
r_bill_limit-account_topMean,2113
r_bill_account_monthAvg,1930
r_bill_priorRepay_max,1910
r_bill_prior_repayCaccount_mean,1895
r_bill_minimunRepay_pctSum,1876
r_bill_priorRepay_mean,1862
r_browse_tag_5,1850
r_bill_priorAccount_mean,1849
r_bill_limitSum,1712
r_browse_tag_10,1654
r_bill_priorAccount_max,1584
r_bill_countbank_id,1568
r_browse_tag_1,1535
r_bill_priorRepay_pctSum,1523
r_browse_tag_7,1508
r_browse_tag_6,1463
r_bill_minimunRepay_std,1402
r_browse_tag_4,1383
r_bill_accountBalance_std,1341
r_bill_priorAccount_std,1340
r_bill_accountBalance_pctSum,1331
r_browse_tag_8,1328
r_bill_priorRepay_std,1304
r_bill_priorAccount_pctSum,1289
r_bill_account_pctSum,1286
r_bill_account_std,1212
r_bill_limitMean,1212
r_bill_count_monthAvg,1211
r_bill_limitStd,1181
r_bill_account_pctSumAbs,980
r_browse_tag_3,875
r_bill_priorRepayCAccount_std,874
r_household,697
r_sex,697
r_occupation,610
r_education,571
r_marriage,566
r_browse_tag_9,162
r_bill_bankid_count,109
r_browse_tag_11,13
r_browse_tag_2,10
