feature,score
r_browse_countAvgMon,1738
r_bill_prior_repayCaccount_topMean,1517
r_bill_limit-account_mean,1450
r_browse_meanAvgMon,1348
r_bill_minimunRepay_mean,1318
r_bill_accountBalance_mean,1187
r_bill_limit-account_topMean,1139
r_browse_count,1110
r_bill_priorRepay_mean,1038
r_bill_account_monthAvg,972
r_browse_tag_5,960
r_bill_priorAccount_mean,957
r_bill_priorRepay_max,911
r_bill_prior_repayCaccount_mean,906
r_bill_minimunRepay_pctSum,898
r_bill_countbank_id,874
r_bill_limitSum,835
r_browse_tag_1,818
r_browse_tag_7,806
r_bill_priorRepay_pctSum,780
r_browse_tag_10,773
r_bill_minimunRepay_std,744
r_browse_tag_6,743
r_bill_accountBalance_pctSum,720
r_bill_account_pctSum,715
r_browse_tag_8,705
r_bill_priorAccount_max,704
r_bill_account_std,701
r_bill_priorAccount_std,696
r_browse_tag_4,693
r_bill_accountBalance_std,684
r_bill_priorAccount_pctSum,613
r_bill_priorRepay_std,609
r_bill_count_monthAvg,565
r_bill_limitMean,564
r_bill_limitStd,559
r_bill_account_pctSumAbs,502
r_bill_priorRepayCAccount_std,470
r_browse_tag_3,448
r_household,378
r_sex,372
r_education,316
r_marriage,302
r_occupation,284
r_browse_tag_9,55
r_bill_bankid_count,23
r_browse_tag_11,6
r_browse_tag_2,2
