feature,score
r_browse_countAvgMon,2519
r_bill_prior_repayCaccount_topMean,2450
r_bill_limit-account_mean,2446
r_browse_meanAvgMon,2329
r_bill_minimunRepay_mean,2018
r_bill_accountBalance_mean,1805
r_bill_limit-account_topMean,1656
r_browse_count,1655
r_bill_account_monthAvg,1515
r_bill_priorRepay_mean,1459
r_bill_priorAccount_mean,1441
r_bill_minimunRepay_pctSum,1390
r_bill_priorRepay_max,1344
r_browse_tag_5,1332
r_browse_tag_10,1293
r_bill_prior_repayCaccount_mean,1273
r_browse_tag_1,1255
r_bill_countbank_id,1254
r_bill_limitSum,1224
r_browse_tag_7,1209
r_bill_priorAccount_max,1205
r_bill_priorRepay_pctSum,1134
r_bill_account_pctSum,1096
r_browse_tag_6,1081
r_bill_minimunRepay_std,1069
r_browse_tag_4,1049
r_bill_accountBalance_pctSum,980
r_bill_accountBalance_std,977
r_browse_tag_8,967
r_bill_priorAccount_std,935
r_bill_priorAccount_pctSum,934
r_bill_account_std,925
r_bill_priorRepay_std,917
r_bill_limitStd,904
r_bill_count_monthAvg,896
r_bill_limitMean,774
r_bill_priorRepayCAccount_std,693
r_bill_account_pctSumAbs,684
r_browse_tag_3,679
r_sex,574
r_household,506
r_education,472
r_occupation,440
r_marriage,405
r_browse_tag_9,102
r_bill_bankid_count,43
r_browse_tag_11,8
r_browse_tag_2,3
