feature,score
r_bill_prior_repayCaccount_topMean,901
r_browse_countAvgMon,896
r_bill_limit-account_mean,830
r_browse_meanAvgMon,746
r_bill_limit-account_topMean,716
r_bill_accountBalance_mean,676
r_bill_minimunRepay_mean,648
r_bill_priorRepay_mean,632
r_browse_count,607
r_bill_countbank_id,575
r_bill_minimunRepay_pctSum,554
r_bill_account_monthAvg,529
r_bill_priorRepay_max,528
r_bill_priorAccount_mean,523
r_bill_prior_repayCaccount_mean,522
r_browse_tag_5,504
r_bill_limitSum,481
r_browse_tag_7,474
r_browse_tag_10,468
r_bill_priorRepay_pctSum,468
r_browse_tag_6,456
r_browse_tag_1,432
r_bill_account_pctSum,432
r_bill_minimunRepay_std,426
r_browse_tag_4,420
r_browse_tag_8,417
r_bill_accountBalance_std,410
r_bill_priorAccount_max,390
r_bill_account_std,379
r_bill_priorAccount_pctSum,372
r_bill_priorAccount_std,368
r_bill_accountBalance_pctSum,350
r_bill_priorRepay_std,336
r_bill_limitMean,333
r_bill_limitStd,331
r_bill_count_monthAvg,307
r_bill_priorRepayCAccount_std,298
r_bill_account_pctSumAbs,288
r_household,217
r_browse_tag_3,205
r_education,192
r_occupation,171
r_marriage,169
r_sex,165
r_browse_tag_9,30
r_bill_bankid_count,23
