feature,score
r_browse_countAvgMon,2539
r_bill_limit-account_mean,2454
r_bill_prior_repayCaccount_topMean,2423
r_browse_meanAvgMon,2293
r_bill_minimunRepay_mean,2058
r_bill_accountBalance_mean,2009
r_bill_limit-account_topMean,1893
r_browse_count,1726
r_bill_priorRepay_mean,1658
r_bill_priorAccount_mean,1589
r_bill_prior_repayCaccount_mean,1550
r_bill_account_monthAvg,1523
r_bill_minimunRepay_pctSum,1458
r_browse_tag_5,1410
r_bill_priorRepay_max,1407
r_browse_tag_10,1392
r_bill_countbank_id,1348
r_bill_limitSum,1344
r_browse_tag_7,1328
r_browse_tag_1,1308
r_bill_priorAccount_max,1305
r_browse_tag_6,1275
r_bill_account_pctSum,1261
r_browse_tag_4,1229
r_bill_minimunRepay_std,1169
r_bill_priorRepay_pctSum,1168
r_bill_accountBalance_pctSum,1145
r_bill_priorAccount_pctSum,1132
r_bill_accountBalance_std,1125
r_browse_tag_8,1111
r_bill_limitStd,1014
r_bill_limitMean,1009
r_bill_priorRepay_std,989
r_bill_priorAccount_std,985
r_bill_account_std,936
r_bill_count_monthAvg,890
r_bill_account_pctSumAbs,810
r_bill_priorRepayCAccount_std,760
r_browse_tag_3,707
r_household,556
r_sex,546
r_education,511
r_marriage,471
r_occupation,437
r_browse_tag_9,129
r_bill_bankid_count,58
r_browse_tag_11,7
r_browse_tag_2,4
