feature,score
r_browse_countAvgMon,1747
r_bill_limit-account_mean,1670
r_bill_prior_repayCaccount_topMean,1634
r_browse_meanAvgMon,1436
r_bill_accountBalance_mean,1335
r_bill_minimunRepay_mean,1295
r_bill_limit-account_topMean,1282
r_browse_count,1232
r_bill_priorRepay_mean,1086
r_bill_minimunRepay_pctSum,1037
r_bill_prior_repayCaccount_mean,1033
r_bill_account_monthAvg,1024
r_bill_priorAccount_mean,1008
r_browse_tag_5,944
r_bill_priorRepay_max,942
r_bill_countbank_id,903
r_browse_tag_7,892
r_bill_priorAccount_max,880
r_bill_limitSum,872
r_browse_tag_10,863
r_browse_tag_6,835
r_bill_priorRepay_pctSum,817
r_browse_tag_1,815
r_bill_account_pctSum,776
r_bill_minimunRepay_std,766
r_bill_accountBalance_std,724
r_bill_priorAccount_std,722
r_browse_tag_4,715
r_bill_accountBalance_pctSum,708
r_bill_account_std,707
r_bill_limitMean,699
r_browse_tag_8,682
r_bill_priorAccount_pctSum,669
r_bill_limitStd,647
r_bill_priorRepay_std,637
r_bill_account_pctSumAbs,560
r_bill_count_monthAvg,553
r_bill_priorRepayCAccount_std,518
r_browse_tag_3,455
r_sex,361
r_household,359
r_education,344
r_marriage,320
r_occupation,317
r_browse_tag_9,63
r_bill_bankid_count,46
r_browse_tag_11,7
r_browse_tag_2,1
