feature,score
r_browse_countAvgMon,891
r_bill_prior_repayCaccount_topMean,867
r_bill_limit-account_mean,796
r_bill_accountBalance_mean,698
r_browse_meanAvgMon,685
r_bill_limit-account_topMean,679
r_bill_minimunRepay_mean,651
r_browse_count,570
r_bill_priorAccount_mean,551
r_bill_priorRepay_mean,526
r_bill_minimunRepay_pctSum,524
r_bill_countbank_id,502
r_bill_prior_repayCaccount_mean,476
r_bill_priorRepay_max,457
r_bill_account_monthAvg,455
r_browse_tag_7,447
r_bill_limitSum,447
r_bill_priorAccount_max,446
r_browse_tag_1,439
r_browse_tag_10,435
r_browse_tag_6,434
r_bill_priorRepay_pctSum,412
r_bill_accountBalance_pctSum,412
r_browse_tag_5,409
r_bill_minimunRepay_std,403
r_browse_tag_8,402
r_browse_tag_4,400
r_bill_account_std,389
r_bill_accountBalance_std,382
r_bill_account_pctSum,381
r_bill_priorRepay_std,361
r_bill_priorAccount_std,358
r_bill_limitMean,341
r_bill_priorAccount_pctSum,331
r_bill_account_pctSumAbs,330
r_bill_limitStd,306
r_bill_count_monthAvg,302
r_bill_priorRepayCAccount_std,280
r_household,223
r_browse_tag_3,215
r_sex,206
r_education,146
r_marriage,145
r_occupation,129
r_browse_tag_9,33
r_bill_bankid_count,19
r_browse_tag_11,2
r_browse_tag_2,2
