feature,score
r_browse_countAvgMon,1695
r_bill_prior_repayCaccount_topMean,1532
r_bill_limit-account_mean,1455
r_browse_meanAvgMon,1323
r_bill_limit-account_topMean,1223
r_bill_minimunRepay_mean,1215
r_bill_accountBalance_mean,1157
r_browse_count,1091
r_bill_priorAccount_mean,1015
r_bill_priorRepay_mean,987
r_bill_minimunRepay_pctSum,974
r_bill_account_monthAvg,945
r_bill_prior_repayCaccount_mean,879
r_browse_tag_1,853
r_browse_tag_7,843
r_bill_countbank_id,839
r_bill_limitSum,836
r_bill_priorRepay_max,824
r_bill_priorAccount_max,792
r_browse_tag_5,792
r_browse_tag_10,790
r_bill_priorRepay_pctSum,755
r_bill_minimunRepay_std,751
r_browse_tag_6,736
r_browse_tag_4,726
r_bill_account_pctSum,721
r_browse_tag_8,682
r_bill_priorAccount_pctSum,655
r_bill_priorAccount_std,652
r_bill_accountBalance_pctSum,641
r_bill_account_std,635
r_bill_priorRepay_std,617
r_bill_limitMean,598
r_bill_accountBalance_std,595
r_bill_limitStd,580
r_bill_count_monthAvg,552
r_bill_account_pctSumAbs,542
r_bill_priorRepayCAccount_std,496
r_browse_tag_3,405
r_household,398
r_sex,355
r_education,308
r_marriage,294
r_occupation,290
r_browse_tag_9,60
r_bill_bankid_count,35
r_browse_tag_11,5
r_browse_tag_2,3
