feature,score
r_browse_countAvgMon,1686
r_bill_prior_repayCaccount_topMean,1555
r_bill_limit-account_mean,1438
r_browse_meanAvgMon,1284
r_bill_minimunRepay_mean,1200
r_bill_accountBalance_mean,1189
r_bill_limit-account_topMean,1116
r_browse_count,1048
r_bill_priorAccount_mean,1026
r_bill_priorRepay_mean,986
r_bill_minimunRepay_pctSum,950
r_bill_account_monthAvg,926
r_bill_priorRepay_max,898
r_bill_prior_repayCaccount_mean,884
r_bill_countbank_id,850
r_browse_tag_5,839
r_browse_tag_6,809
r_browse_tag_1,801
r_browse_tag_7,784
r_bill_priorAccount_max,783
r_bill_priorRepay_pctSum,774
r_bill_limitSum,768
r_browse_tag_10,760
r_browse_tag_8,714
r_bill_account_pctSum,700
r_bill_accountBalance_std,693
r_bill_priorRepay_std,660
r_bill_accountBalance_pctSum,651
r_bill_account_std,648
r_bill_minimunRepay_std,639
r_bill_priorAccount_std,631
r_browse_tag_4,617
r_bill_priorAccount_pctSum,606
r_bill_limitStd,586
r_bill_count_monthAvg,544
r_bill_limitMean,540
r_bill_account_pctSumAbs,538
r_bill_priorRepayCAccount_std,479
r_browse_tag_3,477
r_household,368
r_sex,344
r_education,315
r_occupation,289
r_marriage,279
r_browse_tag_9,78
r_bill_bankid_count,39
r_browse_tag_11,7
r_browse_tag_2,2
