feature,score
r_browse_countAvgMon,1899
r_bill_prior_repayCaccount_topMean,1711
r_bill_limit-account_mean,1597
r_browse_meanAvgMon,1500
r_bill_minimunRepay_mean,1303
r_bill_accountBalance_mean,1244
r_browse_count,1080
r_bill_account_monthAvg,1028
r_bill_priorRepay_mean,1025
r_bill_minimunRepay_pctSum,1017
r_bill_limit-account_topMean,1004
r_bill_countbank_id,990
r_bill_priorAccount_mean,984
r_browse_tag_5,931
r_bill_priorRepay_max,923
r_browse_tag_10,873
r_browse_tag_7,868
r_bill_prior_repayCaccount_mean,845
r_bill_priorRepay_pctSum,836
r_bill_priorAccount_max,798
r_browse_tag_6,775
r_bill_accountBalance_std,770
r_browse_tag_4,769
r_bill_limitSum,766
r_browse_tag_1,765
r_bill_account_pctSum,739
r_browse_tag_8,731
r_bill_accountBalance_pctSum,700
r_bill_priorAccount_std,679
r_bill_account_std,679
r_bill_priorRepay_std,678
r_bill_minimunRepay_std,670
r_bill_priorAccount_pctSum,645
r_bill_count_monthAvg,618
r_bill_limitMean,579
r_bill_limitStd,561
r_bill_priorRepayCAccount_std,536
r_bill_account_pctSumAbs,516
r_browse_tag_3,455
r_household,389
r_sex,362
r_education,335
r_occupation,328
r_marriage,296
r_browse_tag_9,60
r_bill_bankid_count,18
r_browse_tag_11,7
