feature,score
r_browse_countAvgMon,2182
r_bill_prior_repayCaccount_topMean,2042
r_bill_limit-account_mean,1968
r_browse_meanAvgMon,1808
r_bill_minimunRepay_mean,1696
r_bill_limit-account_topMean,1653
r_bill_accountBalance_mean,1632
r_browse_count,1474
r_bill_priorAccount_mean,1372
r_bill_account_monthAvg,1316
r_bill_minimunRepay_pctSum,1261
r_bill_priorRepay_mean,1256
r_bill_prior_repayCaccount_mean,1232
r_bill_priorRepay_max,1171
r_browse_tag_7,1123
r_browse_tag_10,1093
r_bill_countbank_id,1091
r_browse_tag_1,1089
r_browse_tag_5,1089
r_bill_priorAccount_max,1076
r_bill_limitSum,1054
r_bill_priorRepay_pctSum,1036
r_bill_account_pctSum,1011
r_browse_tag_6,993
r_bill_minimunRepay_std,953
r_bill_accountBalance_pctSum,948
r_browse_tag_4,946
r_browse_tag_8,939
r_bill_priorRepay_std,931
r_bill_limitStd,911
r_bill_accountBalance_std,862
r_bill_account_std,817
r_bill_priorAccount_pctSum,811
r_bill_priorAccount_std,806
r_bill_count_monthAvg,788
r_bill_limitMean,775
r_bill_account_pctSumAbs,701
r_bill_priorRepayCAccount_std,624
r_browse_tag_3,613
r_household,444
r_sex,425
r_occupation,399
r_education,359
r_marriage,351
r_browse_tag_9,89
r_bill_bankid_count,42
r_browse_tag_11,9
r_browse_tag_2,1
