feature,score
r_browse_countAvgMon,1794
r_bill_limit-account_mean,1696
r_bill_prior_repayCaccount_topMean,1675
r_browse_meanAvgMon,1465
r_bill_minimunRepay_mean,1287
r_bill_accountBalance_mean,1215
r_bill_limit-account_topMean,1116
r_browse_count,1085
r_bill_priorRepay_mean,1044
r_bill_minimunRepay_pctSum,1029
r_bill_account_monthAvg,1001
r_bill_priorAccount_mean,975
r_browse_tag_5,928
r_bill_countbank_id,926
r_bill_priorRepay_max,901
r_bill_prior_repayCaccount_mean,893
r_bill_limitSum,867
r_browse_tag_10,851
r_bill_priorRepay_pctSum,835
r_browse_tag_7,832
r_bill_priorAccount_max,824
r_browse_tag_4,823
r_browse_tag_1,802
r_browse_tag_6,798
r_bill_account_pctSum,793
r_browse_tag_8,740
r_bill_minimunRepay_std,730
r_bill_accountBalance_pctSum,703
r_bill_accountBalance_std,689
r_bill_account_std,679
r_bill_priorRepay_std,672
r_bill_priorAccount_pctSum,657
r_bill_priorAccount_std,641
r_bill_limitStd,609
r_bill_limitMean,588
r_bill_count_monthAvg,586
r_bill_account_pctSumAbs,531
r_bill_priorRepayCAccount_std,519
r_browse_tag_3,424
r_household,407
r_sex,334
r_education,333
r_marriage,311
r_occupation,309
r_browse_tag_9,72
r_bill_bankid_count,36
r_browse_tag_2,4
r_browse_tag_11,1
