feature,score
r_browse_countAvgMon,2979
r_bill_limit-account_mean,2819
r_bill_prior_repayCaccount_topMean,2733
r_browse_meanAvgMon,2583
r_bill_accountBalance_mean,2242
r_bill_minimunRepay_mean,2219
r_browse_count,2023
r_bill_limit-account_topMean,1961
r_bill_account_monthAvg,1737
r_bill_priorRepay_mean,1671
r_bill_minimunRepay_pctSum,1628
r_bill_priorAccount_mean,1625
r_bill_limitSum,1582
r_browse_tag_5,1580
r_bill_prior_repayCaccount_mean,1572
r_bill_priorRepay_max,1568
r_bill_countbank_id,1539
r_browse_tag_10,1532
r_bill_priorAccount_max,1410
r_browse_tag_1,1393
r_browse_tag_8,1348
r_bill_priorRepay_pctSum,1321
r_browse_tag_6,1319
r_browse_tag_7,1294
r_bill_priorAccount_pctSum,1266
r_bill_account_pctSum,1260
r_bill_accountBalance_pctSum,1244
r_bill_minimunRepay_std,1225
r_bill_accountBalance_std,1195
r_browse_tag_4,1188
r_bill_priorRepay_std,1152
r_bill_account_std,1146
r_bill_priorAccount_std,1083
r_bill_limitMean,1079
r_bill_limitStd,1017
r_bill_count_monthAvg,1014
r_bill_priorRepayCAccount_std,877
r_browse_tag_3,856
r_bill_account_pctSumAbs,791
r_sex,707
r_household,617
r_education,590
r_marriage,565
r_occupation,563
r_browse_tag_9,154
r_bill_bankid_count,77
r_browse_tag_2,10
r_browse_tag_11,9
