feature,score
r_browse_countAvgMon,2429
r_bill_limit-account_mean,2260
r_bill_prior_repayCaccount_topMean,2154
r_browse_meanAvgMon,2084
r_bill_accountBalance_mean,1746
r_bill_minimunRepay_mean,1731
r_bill_limit-account_topMean,1552
r_browse_count,1488
r_bill_priorRepay_mean,1397
r_bill_priorAccount_mean,1370
r_bill_minimunRepay_pctSum,1352
r_bill_account_monthAvg,1267
r_bill_countbank_id,1263
r_browse_tag_5,1244
r_bill_prior_repayCaccount_mean,1164
r_browse_tag_10,1150
r_bill_limitSum,1119
r_bill_priorRepay_max,1118
r_browse_tag_1,1102
r_bill_priorRepay_pctSum,1095
r_browse_tag_7,1076
r_bill_priorAccount_max,1059
r_browse_tag_6,1049
r_browse_tag_8,1026
r_bill_minimunRepay_std,969
r_browse_tag_4,960
r_bill_accountBalance_pctSum,932
r_bill_account_pctSum,932
r_bill_priorAccount_std,922
r_bill_accountBalance_std,911
r_bill_priorAccount_pctSum,894
r_bill_count_monthAvg,840
r_bill_priorRepay_std,806
r_bill_account_std,787
r_bill_limitStd,767
r_bill_limitMean,752
r_bill_account_pctSumAbs,669
r_bill_priorRepayCAccount_std,616
r_browse_tag_3,603
r_sex,536
r_household,481
r_occupation,423
r_marriage,419
r_education,413
r_browse_tag_9,103
r_bill_bankid_count,38
r_browse_tag_11,5
r_browse_tag_2,2
