feature,score
r_browse_countAvgMon,955
r_bill_prior_repayCaccount_topMean,887
r_bill_limit-account_mean,799
r_bill_minimunRepay_mean,688
r_bill_limit-account_topMean,678
r_browse_meanAvgMon,658
r_bill_accountBalance_mean,629
r_bill_priorAccount_mean,577
r_browse_count,568
r_bill_priorRepay_mean,563
r_bill_minimunRepay_pctSum,536
r_bill_account_monthAvg,527
r_browse_tag_5,527
r_bill_priorRepay_max,525
r_bill_countbank_id,521
r_bill_prior_repayCaccount_mean,482
r_browse_tag_6,466
r_browse_tag_10,465
r_browse_tag_7,462
r_browse_tag_1,452
r_bill_account_pctSum,436
r_bill_limitSum,425
r_bill_accountBalance_std,421
r_browse_tag_8,418
r_bill_minimunRepay_std,412
r_bill_priorAccount_max,411
r_browse_tag_4,404
r_bill_priorRepay_pctSum,401
r_bill_priorAccount_pctSum,388
r_bill_priorAccount_std,385
r_bill_accountBalance_pctSum,360
r_bill_priorRepay_std,354
r_bill_account_std,344
r_bill_limitStd,340
r_bill_limitMean,336
r_bill_count_monthAvg,330
r_bill_priorRepayCAccount_std,321
r_bill_account_pctSumAbs,292
r_household,235
r_browse_tag_3,234
r_sex,188
r_education,180
r_occupation,173
r_marriage,144
r_browse_tag_9,25
r_bill_bankid_count,18
r_browse_tag_11,2
r_browse_tag_2,1
