feature,score
r_browse_countAvgMon,1714
r_bill_prior_repayCaccount_topMean,1502
r_bill_limit-account_mean,1387
r_browse_meanAvgMon,1235
r_bill_accountBalance_mean,1167
r_bill_limit-account_topMean,1094
r_bill_minimunRepay_mean,1094
r_bill_account_monthAvg,1016
r_bill_priorRepay_mean,997
r_browse_count,971
r_bill_minimunRepay_pctSum,932
r_bill_priorAccount_mean,931
r_bill_priorRepay_max,860
r_bill_countbank_id,847
r_bill_prior_repayCaccount_mean,815
r_browse_tag_5,813
r_bill_limitSum,803
r_browse_tag_7,784
r_browse_tag_1,774
r_browse_tag_6,764
r_bill_priorAccount_max,741
r_bill_priorRepay_pctSum,719
r_browse_tag_10,713
r_bill_accountBalance_std,703
r_browse_tag_4,695
r_bill_account_pctSum,669
r_bill_accountBalance_pctSum,655
r_browse_tag_8,620
r_bill_minimunRepay_std,615
r_bill_priorAccount_pctSum,608
r_bill_priorAccount_std,602
r_bill_account_std,599
r_bill_priorRepay_std,599
r_bill_limitMean,554
r_bill_limitStd,540
r_bill_count_monthAvg,529
r_bill_account_pctSumAbs,455
r_bill_priorRepayCAccount_std,424
r_browse_tag_3,402
r_household,356
r_sex,303
r_occupation,283
r_education,274
r_marriage,267
r_browse_tag_9,64
r_bill_bankid_count,21
r_browse_tag_2,4
r_browse_tag_11,2
