feature,score
r_browse_countAvgMon,974
r_bill_prior_repayCaccount_topMean,884
r_bill_limit-account_mean,867
r_browse_meanAvgMon,764
r_bill_accountBalance_mean,665
r_bill_minimunRepay_mean,665
r_bill_limit-account_topMean,636
r_bill_priorRepay_mean,575
r_bill_countbank_id,565
r_bill_minimunRepay_pctSum,558
r_bill_account_monthAvg,547
r_bill_priorAccount_mean,535
r_browse_count,522
r_bill_priorRepay_max,519
r_browse_tag_5,509
r_browse_tag_6,467
r_browse_tag_10,459
r_bill_prior_repayCaccount_mean,457
r_bill_limitSum,445
r_browse_tag_1,444
r_bill_accountBalance_std,429
r_browse_tag_7,424
r_browse_tag_8,421
r_browse_tag_4,403
r_bill_priorRepay_pctSum,401
r_bill_priorAccount_max,393
r_bill_priorRepay_std,391
r_bill_priorAccount_std,386
r_bill_priorAccount_pctSum,379
r_bill_accountBalance_pctSum,378
r_bill_limitStd,374
r_bill_account_std,372
r_bill_minimunRepay_std,367
r_bill_account_pctSum,366
r_bill_count_monthAvg,317
r_bill_account_pctSumAbs,292
r_bill_priorRepayCAccount_std,290
r_bill_limitMean,260
r_browse_tag_3,223
r_household,204
r_sex,195
r_education,162
r_marriage,158
r_occupation,146
r_browse_tag_9,29
r_bill_bankid_count,14
r_browse_tag_2,1
