feature,score
r_browse_countAvgMon,1740
r_bill_prior_repayCaccount_topMean,1566
r_bill_limit-account_mean,1473
r_browse_meanAvgMon,1432
r_bill_minimunRepay_mean,1241
r_bill_accountBalance_mean,1176
r_bill_limit-account_topMean,1157
r_browse_count,1112
r_bill_minimunRepay_pctSum,986
r_bill_account_monthAvg,976
r_bill_priorAccount_mean,972
r_bill_priorRepay_mean,971
r_bill_prior_repayCaccount_mean,919
r_bill_priorRepay_max,895
r_bill_limitSum,889
r_browse_tag_5,871
r_browse_tag_10,839
r_bill_countbank_id,823
r_bill_priorRepay_pctSum,792
r_browse_tag_6,780
r_browse_tag_7,771
r_bill_account_pctSum,767
r_browse_tag_1,761
r_bill_priorAccount_max,745
r_browse_tag_8,744
r_browse_tag_4,699
r_bill_minimunRepay_std,689
r_bill_accountBalance_std,658
r_bill_priorRepay_std,649
r_bill_account_std,648
r_bill_priorAccount_pctSum,627
r_bill_accountBalance_pctSum,619
r_bill_priorAccount_std,611
r_bill_count_monthAvg,546
r_bill_limitStd,538
r_bill_limitMean,527
r_bill_priorRepayCAccount_std,503
r_bill_account_pctSumAbs,493
r_browse_tag_3,487
r_household,408
r_sex,364
r_education,305
r_marriage,284
r_occupation,270
r_browse_tag_9,73
r_bill_bankid_count,20
r_browse_tag_11,4
r_browse_tag_2,1
