feature,score
r_browse_countAvgMon,1011
r_bill_prior_repayCaccount_topMean,913
r_bill_limit-account_mean,805
r_browse_meanAvgMon,738
r_bill_accountBalance_mean,687
r_bill_limit-account_topMean,668
r_bill_minimunRepay_mean,631
r_bill_countbank_id,601
r_bill_priorRepay_mean,582
r_browse_count,569
r_bill_priorAccount_mean,566
r_bill_minimunRepay_pctSum,556
r_bill_priorRepay_max,546
r_bill_account_monthAvg,523
r_browse_tag_5,522
r_browse_tag_10,508
r_browse_tag_7,499
r_bill_limitSum,492
r_bill_prior_repayCaccount_mean,491
r_browse_tag_6,471
r_browse_tag_1,468
r_bill_priorAccount_max,442
r_browse_tag_4,441
r_bill_account_pctSum,440
r_bill_minimunRepay_std,428
r_bill_accountBalance_std,422
r_bill_accountBalance_pctSum,422
r_bill_priorRepay_pctSum,411
r_bill_priorAccount_pctSum,409
r_bill_priorRepay_std,408
r_bill_account_std,392
r_bill_priorAccount_std,392
r_browse_tag_8,385
r_bill_account_pctSumAbs,353
r_bill_count_monthAvg,346
r_bill_limitMean,332
r_bill_limitStd,319
r_bill_priorRepayCAccount_std,283
r_browse_tag_3,254
r_household,220
r_sex,211
r_education,183
r_occupation,164
r_marriage,159
r_browse_tag_9,25
r_bill_bankid_count,19
r_browse_tag_11,1
