feature,score
r_browse_countAvgMon,1079
r_bill_prior_repayCaccount_topMean,971
r_bill_limit-account_mean,860
r_browse_meanAvgMon,768
r_bill_accountBalance_mean,720
r_bill_minimunRepay_mean,687
r_bill_limit-account_topMean,665
r_bill_priorRepay_mean,639
r_bill_priorAccount_mean,599
r_bill_countbank_id,587
r_bill_priorRepay_max,558
r_bill_minimunRepay_pctSum,553
r_browse_count,543
r_bill_account_monthAvg,533
r_browse_tag_10,530
r_browse_tag_7,477
r_browse_tag_5,475
r_bill_priorRepay_pctSum,469
r_bill_prior_repayCaccount_mean,466
r_bill_limitSum,453
r_browse_tag_1,446
r_browse_tag_6,436
r_browse_tag_4,420
r_browse_tag_8,418
r_bill_minimunRepay_std,410
r_bill_accountBalance_std,407
r_bill_priorRepay_std,406
r_bill_priorAccount_std,404
r_bill_account_pctSum,386
r_bill_priorAccount_max,385
r_bill_accountBalance_pctSum,381
r_bill_account_std,368
r_bill_priorAccount_pctSum,358
r_bill_account_pctSumAbs,333
r_bill_count_monthAvg,326
r_bill_limitStd,306
r_bill_limitMean,304
r_bill_priorRepayCAccount_std,258
r_browse_tag_3,241
r_household,222
r_sex,198
r_education,185
r_occupation,167
r_marriage,147
r_browse_tag_9,22
r_bill_bankid_count,15
r_browse_tag_2,1
