feature,score
r_browse_countAvgMon,957
r_bill_prior_repayCaccount_topMean,908
r_bill_limit-account_mean,858
r_browse_meanAvgMon,706
r_bill_limit-account_topMean,698
r_bill_minimunRepay_mean,671
r_bill_accountBalance_mean,615
r_browse_count,594
r_bill_priorAccount_mean,538
r_bill_countbank_id,537
r_bill_minimunRepay_pctSum,524
r_bill_priorRepay_max,506
r_bill_priorRepay_mean,506
r_bill_account_monthAvg,504
r_browse_tag_5,503
r_bill_prior_repayCaccount_mean,495
r_bill_limitSum,483
r_browse_tag_10,477
r_browse_tag_6,468
r_browse_tag_7,451
r_browse_tag_1,442
r_browse_tag_4,442
r_bill_priorRepay_pctSum,435
r_bill_priorAccount_max,433
r_bill_minimunRepay_std,425
r_bill_accountBalance_std,415
r_bill_account_pctSum,413
r_bill_priorAccount_std,399
r_bill_account_std,387
r_bill_accountBalance_pctSum,385
r_bill_priorRepay_std,366
r_browse_tag_8,357
r_bill_priorAccount_pctSum,356
r_bill_limitMean,353
r_bill_limitStd,332
r_bill_count_monthAvg,323
r_bill_account_pctSumAbs,322
r_bill_priorRepayCAccount_std,299
r_household,231
r_browse_tag_3,209
r_education,199
r_sex,193
r_marriage,165
r_occupation,147
r_browse_tag_9,34
r_bill_bankid_count,13
r_browse_tag_2,1
