feature,score
r_bill_limit-account_mean,1482
r_bill_prior_repayCaccount_topMean,1461
r_browse_countAvgMon,1449
r_browse_meanAvgMon,1358
r_bill_limit-account_topMean,1231
r_bill_accountBalance_mean,1121
r_bill_minimunRepay_mean,1118
r_browse_count,1045
r_bill_priorRepay_mean,983
r_bill_priorAccount_mean,939
r_bill_minimunRepay_pctSum,895
r_bill_prior_repayCaccount_mean,872
r_bill_account_monthAvg,863
r_bill_countbank_id,831
r_bill_priorRepay_pctSum,825
r_browse_tag_7,821
r_bill_limitSum,815
r_bill_priorRepay_max,800
r_bill_priorAccount_max,792
r_browse_tag_10,791
r_browse_tag_5,779
r_browse_tag_6,778
r_browse_tag_1,774
r_bill_accountBalance_std,732
r_bill_accountBalance_pctSum,700
r_bill_minimunRepay_std,678
r_browse_tag_4,665
r_bill_account_pctSum,639
r_bill_account_std,628
r_bill_priorAccount_std,598
r_browse_tag_8,593
r_bill_priorAccount_pctSum,574
r_bill_limitMean,559
r_bill_priorRepay_std,556
r_bill_limitStd,547
r_bill_count_monthAvg,534
r_bill_account_pctSumAbs,478
r_bill_priorRepayCAccount_std,428
r_browse_tag_3,411
r_household,332
r_sex,303
r_occupation,280
r_education,279
r_marriage,257
r_browse_tag_9,47
r_bill_bankid_count,21
r_browse_tag_11,5
