feature,score
r_browse_countAvgMon,924
r_bill_prior_repayCaccount_topMean,813
r_bill_limit-account_mean,787
r_bill_minimunRepay_mean,694
r_bill_limit-account_topMean,662
r_bill_accountBalance_mean,644
r_browse_meanAvgMon,643
r_bill_priorAccount_mean,562
r_bill_countbank_id,550
r_bill_priorRepay_mean,544
r_browse_count,544
r_bill_minimunRepay_pctSum,528
r_bill_account_monthAvg,520
r_browse_tag_10,485
r_browse_tag_7,480
r_bill_limitSum,479
r_bill_priorRepay_max,462
r_bill_prior_repayCaccount_mean,458
r_browse_tag_5,456
r_bill_priorRepay_pctSum,456
r_browse_tag_6,440
r_bill_priorAccount_max,430
r_bill_minimunRepay_std,424
r_browse_tag_4,423
r_browse_tag_1,422
r_bill_account_pctSum,410
r_browse_tag_8,376
r_bill_accountBalance_pctSum,374
r_bill_account_std,369
r_bill_priorAccount_pctSum,366
r_bill_accountBalance_std,360
r_bill_priorRepay_std,353
r_bill_limitStd,334
r_bill_limitMean,334
r_bill_priorAccount_std,332
r_bill_count_monthAvg,312
r_bill_account_pctSumAbs,310
r_bill_priorRepayCAccount_std,285
r_browse_tag_3,223
r_sex,206
r_household,205
r_marriage,168
r_education,156
r_occupation,131
r_browse_tag_9,27
r_bill_bankid_count,13
r_browse_tag_11,1
